id,supplement,type,name,ruby,timing,skill,dfclty,target,rng,urge,flavor,effect,ref_faq_id,ref_info_id,update,other_ver_id,rel_elois_id,type_order,urge_order
上級-歪んだ囁き,上級,一般,歪んだ囁き,ユカンタササヤキ,オートアクション,—,自動成功,単体,視界,—,誤解や妄想を植えつけることで、他者の感情を思うがままに操り、ねじ曲げるEロイス。ジャームとなったあなたの歪んだ精神は、人々への嫉妬と悪意に満ちている。その力をもって人間の関係性を破壊し、それによって生まれる悲劇をあざ笑うことこそがあなたの望みなのだ。,いつでも使用できる。対象が取得しているロイスひとつの感情を、あなたの任意に書き換える。どちらの感情が表に出ているかも指定してよい。対象は即座に感情を書き換えること。感情を変化した結果、どのような影響が出るのかはGMが任意に決定してよい。なお、GMが任意に設定した条件をクリアすれば、再び感情を対象が再設定し直してもよいものとする。,,,LM,LM-歪んだ囁き,,0,0
上級-究極存在,上級,一般,究極存在,キュウキョクソンサイ,常時,—,自動成功,自身,至近,解放,あなたがレネゲイドの、ひいては生物としての限界そのものから解放されていることを表わすEロイス。何ものにも邪魔されず、縛られず、阻まれず、思うがままに生き続けたいという究極のエゴが、あなたを不滅の存在たらしめた。あなたは一にして全なる完全無欠の生命体であり、自身以外のあらゆる他者を必要となどしない。,あなたはあらゆるダメージを受けない。この効果が解除される条件はGMが任意に決定すること。ダメージに加えて、バッドステータス、老いや病気、飲食の必要性、慣性や重力といった物理法則からの束縛など、みずからが望まない任意の影響を受けないとしてもよい。どこまでがそれに該当するかはGMが決定する。,,,LM,LM-究極存在,,0,1
上級-愚者の契約,上級,一般,愚者の契約,クシャノケイヤク,オートアクション,—,自動成功,効果参照,効果参照,解放,こうありたい、苦悩から解き放たれたいという切なる願いが生んだ、あらゆる願望を実現するEロイス。しかし、代償として本人、そして世界が、恐るべき対価を支払うことになる。,いつでも使用できる。使用することで、他者があなたに願った願いをひとつ叶えることができる。あなた自身の願いを叶えることはできない。ただし、その実現には必ず代償が必要になる。願いがどのような形で叶えられるのか、代償が何になるのかはGMが決定する。人とオーヴァードの平和的共存を望んだ結果、オーヴァードでない者が次々死んでいくなど、本来の意図から歪められた形で願いが叶うことにしてもよい。また、本人が自覚しない代償が発生したり、代償を支払い続けない限り願いが実現しないなどとしてもよい。,,,LM,LM-愚者の契約,,0,1
上級-血の焦がれ,上級,一般,血の焦がれ,チノコカレ,セットアッププロセス,—,自動成功,シーン(選択),視界,吸血,あなたが世界そのものから命を吸い上げる災厄と化したことを表わすEロイス。あなたの飽くなき生存への欲求が、その場で動くものすべてから血と生命力をゆっくりと吸い取ってゆく。あなたの行くところ、花は枯れ、飛ぶ鳥は落ち、周囲は死と嘆きで満たされるだろう。他の生物、ひいては既存の世界を犠牲にしてでも、みずからの欲望を果たしたいと願う衝動によって発現したEロイスである。,このEロイスを宣言すると、対象は即座に2D点のHPを失う。このダイスはあなたが振ること。この効果で失われたHPの合計分、あなたのHPを回復する。この効果で戦闘不能のキャラクターが死亡することはない。,,,LM,LM-血の焦がれ,,0,2
上級-血の花嫁,上級,一般,血の花嫁,チノハナヨメ,メジャーアクション,—,自動成功,単体,至近,吸血,死者を蘇らせ、使用者の操り人形に変えるEロイス。相手の自由意思を奪ってでも共にありたいという歪んだエゴイズムが生んだEロイスである。,死亡している対象にのみ使用できる。対象の死亡を回復し、HPを完全に回復する。ただし対象は、オーヴァードであったかどうかにかかわらず、必ずジャーム化し、以後あなたに絶対服従となる。GMはこの効果を解除するための条件を任意に設定してもよい。ただし、このEロイスの効果を解除すると対象は必ず死亡する。また、生き返った対象の外見などは、死ぬ以前と一切変化がないとしてもよいし、特定の感情を喪失している、体温がないといっまた、不自然な部分があるとしてもよい。詳細はGMが決定する。,,,LM,LM-血の花嫁,,0,2
上級-飢えたる魂,上級,一般,飢えたる魂,ウエタルタマシイ,オートアクション,—,自動成功,単体,視界,飢餓,殺した相手から力を奪い、みずからの能力として取り込むEロイス。欲しいものは殺してでも奪い取るという飽くなき力への渇望が源となっており、逆説的に殺すことでしかその効果は発現しない。さらなる力を得るため、あなたは終わらぬ殺戮と強奪を繰り返すだろう。,あなたが対象を死亡させた時に使用する。対象の取得しているエフェクトひとつを選択すること。あなたはそのエフェクトを同じレベルで取得し、以後、永久的に使用できる。対応するシンドロームを所持していなかったり、ピュアブリード専用など取得に制限があるエフェクトでもそれを無視して取得できる。,,,LM,LM-飢えたる魂,,0,3
上級-餓えの淵,上級,一般,餓えの淵,ウエノフチ,メジャーアクション,—,自動成功,単体,至近,飢餓,他者を自身の内部に取り込み、吸収同化してパワーアップするEロイス。相手を文字通り喰らうことで、同一化を果たしたいという願望が発現したものである。,対象をあなたの体内に取り込む。取り込んでいる間、あなたが行なうあらゆる判定のダイスを+2個する。対象がエキストラ以外の場合、戦闘不能またはこの効果に同意していなければならない。取り込まれた対象はGMが特別に許可しない限り、あらゆる行動が行なえず、あらゆる効果の対象にならない。また、あなたが移動すると同時に同じ場所に移動する。GMは任意にこのEロイスの効果を解除する条件を作成してもよい。解除されずに使用者が死亡した場合、取り込まれた対象もまた死亡するとしてもよい。,,,LM,LM-餓えの淵,,0,3
上級-殺戮衝動,上級,一般,殺戮衝動,サツリクショウトウ,セットアッププロセス,—,自動成功,シーン,視界,殺戮,あなたによって打ち倒された者が、遠からず逃れ得ぬ死を迎えることを表わすEロイス。あなたは犠牲者を生かしたままにしておくような生易しい真似などしない。いや、手加減などしようにもできはしないのだ。向かうところすべてに死を振りまき、世界を無数の墓標で埋め尽くすことこそが、あなたの抑えがたき衝動なのだから。,そのシーンの間、クリンナッププロセスの時点で戦闘不能のキャラクターは自動的に死亡する。,,,LM,LM-殺戮衝動,,0,4
上級-惨劇の輪廻,上級,一般,惨劇の輪廻,サンケキノリンネ,イニシアチブプロセス,—,自動成功,自身,至近,殺戮,あなたの飽くなき殺戮への欲求が、他者を殺害せしめることで、さらなる凶行を生む力となることを表わすEロイス。ひとつの死がもたらす充足感は、しかし決してあなたの心に平穏を呼びはせず、次なる殺害衝動を燃え立たせる薪となる。終わりなき殺戮の宴を永遠に繰り返すことこそが、あなたの望む世界の姿なのだ。,シーン内の誰かが戦闘不能である場合のみ宣言できる。あなたはイニシアチブプロセスでメインプロセスを行なえる。このメインプロセスは行動済みでも行なえ、行なっても行動済みにならない。ただし、このメインプロセスでは、他のキャラクターに「とどめを刺す」以外の行動は行なえない。,,,LM,LM-惨劇の輪廻,,0,4
上級-砕け散る絆,上級,一般,砕け散る絆,クタケチルキスナ,メジャーアクション,—,自動成功,単体,視界,破壊,人と人との絆そのものを破壊するEロイス。ジャームとは本質的に他者との結び付きを持てない存在である。そんなあなたにとって、他者のそれなどただ目障りなだけの見世物に過ぎない。価値が見出せるとしたら、それを無惨に打ち砕いた時の快感だけだ。,対象が持っているロイスひとつを消去する。どのロイスが消去されるかはGMが決定すること。対象はロイス欄から指定されたロイスを消すこと。また、GMが任意に設定した条件を達成するまで同じ人物に対するロイスを再取得できず、他のロイスで空欄を埋めることもできない。ロイスが消去されたことによる影響はGMが決定すること(対象から、消去されたロイスに関する記憶が無くなるなど)。Dロイスを消去した場合、その効果を受けられないとしてもよい。,,,LM,LM-砕け散る絆,,0,5
上級-破壊神顕現,上級,一般,破壊神顕現,ハカイシンケンケン,メジャーアクション,—,自動成功,効果参照,視界,破壊,すべてを破壊したいと願うイメージを強大なる力へと変え、ありとあらゆるものを破壊するEロイス。あなたこそは思うがままに世界を砕き、その姿を変貌させる破壊神である。,建造物、地形、町、大陸、天体など、あなたが望むものひとつを完全に破壊する。破壊の規模が広範囲におよぶものでもよい。具体的な効果はGMが決定するが、この効果でキャラクターにダメージやバッドステータスを与えることはできない。また、外面はそのままで内部だけ破壊する、範囲内に存在する特定のものだけ破壊するなど、特殊な形で破壊が起こるものとしてもよいし、完全な破壊までにタイムリミットを設けてもよい。,,,LM,LM-破壊神顕現,,0,5
上級-加虐の宴,上級,一般,加虐の宴,カキャクノウタケ,メジャーアクション,—,自動成功,単体,至近,加虐,他者の肉体を変質させ、生きた爆弾へと変えてしまうEロイス。できる限りの痛みと苦しみ、そして凄惨な死をもたらしたいというドス黒い衝動が発現させた効果であり、あなたはこれによって目標だけでなく、その周囲の人々をも無差別に巻き込むことに躊躇がない。,そのシナリオ中に対象が戦闘不能になった場合、対象とエンゲージしているすべてのキャラクターに5D点のダメージを与える。この効果の後、対象は自動的に死亡する。あなたはこのダメージを受けない。あなたが死亡した場合、この効果は解除される。また、それ以外にも上記の効果を解除できる条件をGMが設定してもよい。,,,LM,LM-加虐の宴,,0,6
上級-絶対の枷,上級,一般,絶対の枷,セッタイノカセ,メジャーアクション,—,自動成功,単体,視界,加虐,相手の精神と肉体に強烈な負荷をかけ、絶対遵守の誓約を強制的に結ばせるEロイス。他者をその意に沿わない命令に無理矢理服従させたいという衝動が源となったものであり、それゆえに誓約を破れないのではなく、破ると死ぬという、より一層残酷な形で発現するのだ。,エキストラまたは非オーヴァードのみ対象にできる。「あなたを攻撃してはならない」「秘密を口外してはならない」など、対象にひとつ誓約を結ばせる。対象がその誓約を破った場合、即座に死亡する。どこまでが破ったことに該当するのかはGMが判断すること。この効果を解除する方法はGMが任意に決定する。この効果はそのシナリオの間持続する。,,,LM,LM-絶対の枷,,0,6
上級-定まりし殺意,上級,一般,定まりし殺意,サタマリシサツイ,オートアクション,—,自動成功,単体,視界,嫌悪,あなたへの思いを振り切った相手に、死をもって報復するという苛烈な意志を表わすEロイス。人があなたを拒絶するというなら、あなたもまた相手の全存在を、渾身の殺意をもって否定するまでだ。あなたを理解しない者、理解したつもりになった者、すべて平等にあなたには許せない。,対象が、あなたに対して取得したロイスをタイタスに変えた時に使用する。対象はそのメインプロセスの終了後、4D点のHPダメージを受ける。,,,LM,LM-定まりし殺意,,0,7
上級-否定の壁,上級,一般,否定の壁,ヒテイノカヘ,オートアクション,—,自動成功,単体,視界,嫌悪,妄念と呼べるほどに膨れあがった嫌悪の念によって、自身に向けられた強い感情を拒絶するEロイス。ジャームと化したあなたにとって、人とのつながりは触れたくも思い出したくもないものだ。そんなものが生み出すという力など、あなたには唾棄すべき茶番でしかない。,対象があなたへの攻撃に、タイタスを使用した時に使用する。その効果ひとつを打ち消す。打ち消せる効果はすなわち「クリティカル値を−1」「ダイスの数を+10個」「達成値を+1D」のいずれかとなる。このEロイスは、Sロイスをタイタスにしたものには効果を発揮しない。このEロイスはバックトラックと経験点の計算の際、ひとつにつき2個分のEロイスとして計算する。,,,LM,LM-否定の壁,,0,7
上級-殺戒現出,上級,一般,殺戒現出,サッカイケンシュツ,セットアッププロセス,〈意志〉,対決,シーン,視界闘争,闘争,その場の全員に闘争の衝動を植えつけ、暴力の支配する空間へと変容させてしまうEロイス。そこに平和的な解決などあろうはずもなく、ただひたすらに凄惨な命のやり取りだけが、唯一の共通言語となる。この力の源となったのは、闘争に至上の快楽を見出す飢えた精神そのものだ。……さあ、闘え！,対象の〈意志〉と対決を行なうこと。あなたが勝利したら、対象にバッドステータスの暴走を与え、そのラウンドの間、対象は攻撃以外のあらゆる判定のダイスが−3個される。あなたはこのEロイスの効果を受けない。,,,LM,LM-殺戒現出,PE-奈落の修羅,0,8
上級-修羅の世界,上級,一般,修羅の世界,シュラノセカイ,オートアクション,—,自動成功,自身,至近,闘争,あらゆる不利な状況を振り払い、再び全力をもって戦える状態へと舞い戻るEロイス。たとえ身体が砕け、魂がすり減ろうとも、あなたの凄絶な戦いに終わりの時は来ない。永遠の闘争、それこそがあなたの願いだからだ。,いつでも使用できる。バッドステータス、封鎖、ダイスや達成値へのペナルティ、エフェクトの効果など、あなたが受けている不利な効果をすべて打ち消す。どこまでが不利な効果に該当するかはGMが判断すること。このEロイスはあなたが戦闘不能でも使用でき、その場合はさらに戦闘不能を即座に回復し、HPを1点まで回復する。,,,LM,LM-修羅の世界,PE-奈落の修羅,0,8
上級-虚実崩壊,上級,一般,虚実崩壊,キョシツホウカイ,メジャーアクション,—,自動成功,効果参照,効果参照,妄想,あなたの妄想を具現化するEロイス。凝り固まった狂気と妄念が、虚実定かならぬ領域に達したその時、幻想と現実は境界を越える。あなたを止めない限り、世界の有り様は恐るべき崩壊の一途を辿るだろう。,あなたの妄想が実体化し、世界が大きく変化する。その結果何が起きるのかは、GMが決定すること。ステージ内で設定されているルールを変更してもよい。この効果はあなたが死亡するまで継続する。GMは任意にこのEロイスの効果を解除する条件を作成してもよい。,,,LM,LM-虚実崩壊,,0,9
上級-妄念の姿,上級,一般,妄念の姿,モウネンノスカタ,常時,—,自動成功,自身,至近,妄想,レネゲイドの力で肉体と精神を変容させ、理想とする自分へと姿を変えるEロイス。姿だけでなく、その能力までもが思うがままと化す。他者へのコンプレックスや嫉妬、自己嫌悪といった感情が、このEロイスの源となっていることが多く、他人の姿をそっくり模すこともある。,このEロイスの取得時に、あなたが所持していないシンドロームからエフェクトひとつを指定する。あなたは指定したエフェクトを任意のレベルで取得する。「制限:●●」のものやエネミーエフェクトも指定できる。ただし、エフェクトに記載されている最大レベルを超えて取得することはできない。またあなたの外見や年齢、性別、立ち振る舞いなどを、あなたの望む姿に変更する。GMは任意にこのEロイスの効果を解除する条件を作成してもよい。,,,LM,LM-妄念の姿,,0,9
上級-黒き歓び,上級,一般,黒き歓び,クロキヨロコヒ,常時,—,自動成功,自身,至近,自傷,傷を受けるごとにあなたのレネゲイドが活性化し、よりパワーアップすることを表わすEロイス。傷付き、苛まれ、血を流すことはあなたの本望だ。痛みと共に全身を包む黒い歓喜が、あなたにさらなる力を与え、さらなる地獄へ自身と、そして周囲をいざなうだろう。,あなたがダメージを受けるごとに効果を発揮する。そのシーン中にあなたが行なう、あらゆる判定の達成値に+2する。ひとつのダメージに対しては1回しか効果を発揮せず、この効果は重複する。,,,LM,LM-黒き歓び,,0,10
上級-自虐の刃,上級,一般,自虐の刃,シキャクノヤイハ,オートアクション,—,自動成功,シーン(選択),視界,自傷,強烈な自傷衝動を、他者にも伝染させるEロイス。みずからを消し去りたい、死んでしまいたいというあなたの衝動は、自身にとどまらず、世界そのものを巻き添えにするまでに肥大化した。その影響があらゆる生物の自壊機能、すなわち自殺衝動を強制的に喚起するのだ。あなたの望む死は、すべての生者を道連れにすることで初めて達成されるだろう。,衝動判定が行なわれる直前に使用する。その衝動判定に失敗したキャラクターは、バッドステータスの憎悪を受ける。憎悪の対象はそれぞれのキャラクター自身となる。,,,LM,LM-自虐の刃,,0,10
上級-怯えのまなざし,上級,一般,怯えのまなざし,オヒエノマナサシ,イニシアチブプロセス,—,自動成功,シーン(選択),視界,恐怖,あなたが世界や他人、あるいは自分自身に対して感じている絶望的な恐怖を、他者にまで伝搬させるEロイス。あなたを理解しようとする者は、あなたが見えているモノを見、聞こえているモノを聞いてしまう。それは精神を破壊するに足る圧倒的絶望であり、味わってしまった哀れな犠牲者を正気ではすまさないだろう。そう、あなたと同様に。,あなたに対するロイスを取得しているキャラクターしか対象にできない。対象にバッドステータスの暴走を与える。,,,LM,LM-怯えのまなざし,,0,11
上級-絶対拒絕,上級,一般,絶対拒絕,セッタイキョセツ,常時,—,自動成功,自身,至近,恐怖,あなたが他者を恐怖し、激しく拒絶する心の声が、周囲を物理的に侵蝕することを表わすEロイス。あなたに近づいた者は、肉体と精神を破壊され、異形の存在、すなわちあなたと同質のものへと成り果てるだろう。あるいはそれが、唯一あなたが恐怖せずに済む姿なのかもしれない。,あなたにエンゲージしたキャラクターは、即座に侵蝕率が1D10点上昇する。この侵蝕率上昇は一度離れて再びあなたにエンゲージした場合、再び効果を発揮する。また、これにより非オーヴァードがオーヴァードに覚醒したり、即座にジャーム化するとしてもよい。,,,LM,LM-絶対拒絕,,0,11
上級-怨念の一打,上級,一般,怨念の一打,オンネンノイチタ,オートアクション,—,自動成功,自身,至近,憎悪,怒りと憎悪の念によって、あなたを傷つけた相手に殺意を反射するEロイス。あなたの衝動の源泉は、あなたを傷つけ、拒もうとする周囲の世界に対しての飽くなき憎悪だ。あなたの存在を否定しようとする者を、あなたは決して許しはしない。たとえ諸共に道連れにしようとも、地獄に叩き込まずには済まさないだろう。,あなたがHPダメージを受けた直後に使用する。あなたにそれを与えたキャラクターに、あなたが受けたのと同じだけのHPダメージを与える。このダメージはあらゆる手段で軽減できない。,,,LM,LM-怨念の一打,,0,12
上級-憎しみの楔,上級,一般,憎しみの楔,ニクシミノクサヒ,オートアクション,—,自動成功,単体,視界,憎悪,妄執の域にまで凝り固まった憎悪の念を伝染させ、対象をその渦中に引きずり込むEロイス。あなたの発する悪意にあてられた者は、その狂気に一時的に取り込まれ、心のどこかが壊れてしまうのだ。ゆえに、あなたという怪物と戦おうとするものは、何かを犠牲にせずにはいられない。たとえ戦う理由が正しく気高いものであろうとも、憎悪の炎に身を焦がされ、ついにはあなたと同じ存在に成り果ててしまうだろう。,いつでも使用できる。対象が取得しているロイスひとつを選択し、タイタスに変える。タイタスに変化したことでどのような影響が出るのかはGMが任意に決定してよい。,,,LM,LM-憎しみの楔,,0,12
PE-混迷の謀略,PE,シナリオクラフト専用,混迷の謀略,コンメイノホウリャク,オートアクション,—,自動成功,シーン,至近,—,シナリオクラフトによって発生する事象が、あなたの謀略の一端であることを表わすEロイス。あなたの執念、エゴによって歪められた事象は解析困難で、あなたの尻尾をなかなか掴ませない。,シナリオクラフトプレイにおける、情報収集またはトラップ判定の直前に使用する。その難易度を+1D10する。さらに、PCの全員がその判定に失敗した場合、次のシーンでは必ずサプライズチャートを振らねばならないものとする。このEロイスはあなたがシーンに登場していなくても使用できる。,,,LM,LM-混迷の謀略,,1,0
PE-ファイトクラブ,PE,シナリオクラフト専用,ファイトクラブ,ファイトクラフ,常時,—,自動成功,自身,至近,—,あなたの自我がふたつ、あるいはそれ以上にわかれていることを表わすEロイス。あなたの表層は天使のように清らかだが、内面は闘争を好む修羅なのである。ただ、あなたはあなたの本質から目を背けているだけだ。,あなたは、人格の一部だけがジャーム化している特殊なジャームである。表層に現われているあなたは正常な人間関係を結び、ロイスを持つことができる。ルール的には、表層と内面はそれぞれ同時に登場できない別のNPCとして扱うこと。内面に相当する“あなた”が死亡した場合表層がどうなるのかについてはGMが決定せよ。何らかの手段によって分離できるとしてもよい。アドヴェントを発生させずにクライマックスに到達し、内面を倒せれば分離できるとするとよいだろう。,,,LM,LM-ファイトクラブ,,1,0
PE-目覚める魂,PE,シナリオクラフト専用,目覚める魂,メサメルタマシイ,常時,—,自動成功,効果参照,効果参照,解放,あなたの衝動が他者に伝播し、それによって人々の破壊衝動が強まることを表わすDロイス。あなたは衝動のままに生き、つまらない他人への配慮から“解放”されたその境遇を心から楽しんでおり、その境地を伝染させる力を持っている。その境地に至った人々は、他者への配慮を忘れていく。,シナリオクラフトプレイ中に登場するあなた自身を含むすべてのエネミーは、あらゆる攻撃のダメージに+1Dされる。また、そのセッションでは非オーヴァードのNPCは徐々に思いやりや配慮を忘れていく。具体的な効果や演出はGMが決定せよ。,,,LM,LM-目覚める魂,,1,1
PE-覚醒する世界,PE,シナリオクラフト専用,覚醒する世界,カクセイスルセカイ,常時,—,自動成功,効果参照,効果参照,解放,あなたがオーヴァードであることを喜び、その事実を隠蔽するつもりなどないことを表わすEロイス。あなたは解放された存在だ。少なくともあなた自身はそう思っている。社会の制約、他者とのつきあい、オーヴァードなど存在しないという建前。そんなものは、解放されたあなたにとって意味のないものだ。あなたの存在は、やがて日常そのものを破壊するだろう。,あなたがエンディングフェイズまで生存していた場合、そのステージに住むすべての非オーヴァードは、あなたの行動を通して、オーヴァードの存在を確信するに至る。その結果何が起きるかについては、GMが決定すること。また、その強固な確信によってあなたのHPは+30される。,,,LM,LM-覚醒する世界,,1,1
PE-深淵の抱擁,PE,シナリオクラフト専用,深淵の抱擁,シンエンノホウヨウ,オートアクション,—,自動成功,効果参照,効果参照,吸血,あなたが吸血行為によって、オーヴァードとしての力を擬似的に分け与えることができることを表わすEロイス。,このEロイスはあなたがシーンに登場していなくても使用できる。そのシーンに登場しているプレサージを指定し、そのキャラクターがあなたの吸血の呪いを受けているとすることができる。呪いを受けたキャラクターはクリムゾンビースト(『ルール2』P266)と同等の能力を持つものと見なされる。呪いによって与えられたエフェクトは擬似的なものであり、呪われたキャラクターの【HP】を0にすることで解除できる。その他、プレサージにどのような影響があるのかはGMが決定せよ。,,,LM,LM-深淵の抱擁,,1,2
PE-夜に咲く薔薇,PE,シナリオクラフト専用,夜に咲く薔薇,ヨルニサクハラ,常時,—,自動成功,自身,至近,吸血,ある聖典に曰く。血は生命そのものであると。また曰く、血によってのみ人の罪は許されると。あなたはいわば、血によって生命を得、また血によって人の束縛を脱ぎ捨てて咲き誇る赤い薔薇だ。どこかで戦いが起きるたび、あなたがその血を吸ってパワーアップすることを表わすEロイス。,シナリオクラフトプレイ中、エネミーとの戦闘が1ラウンド発生するごとに、あなたのHPの現在値および上限は+10される(最大100)。,,,LM,LM-夜に咲く薔薇,,1,2
