id,supplement,category,type,name,ruby,maxlv,maxlv_int,timing,skill,dfclty,target,rng,encroach,encroach_int,restrict,premise,flavor,effect,ref_weapon_id,ref_armor_id,ref_faq_id,ref_info_id,update,other_ver_id,rel_power_id,rel_weapon_id,rel_armor_id,rel_vehicle_id,rel_connection_id,rel_general_id,rel_dlois_id,type_restrict_order
基本1-雷の槍,基本1,ブラックドッグ,一般,雷の槍,イカスチノヤリ,5,5,メジャーアクション,〈RC〉,対決,—,視界,2,2,—,,増幅した電流を対象に向かって撃ち出し、攻撃するエフェクト。,「攻撃力:+[LV×2+4]」の射撃攻撃を行なう。このエフェクトを組み合わせた判定のダイスを−1個する。この攻撃では、あなたと同じエンゲージにいるキャラクターを対象にできない。,,,,,EA,EA-雷の槍,,,,,,,,0
基本1-ウェポンマウント,基本1,ブラックドッグ,一般,ウェポンマウント,ウェホンマウント,3,3,常時,—,—,自身,至近,—,0,—,,武器を内蔵するエフェクト。,常備化ポイントが[LV×5]以下の武器をひとつ選択すること。あなたはそのアイテムを入手、常備化できる。選択したアイテムはイニシアチブプロセスで装備、所持の切り替えができる。このエフェクトは侵蝕率によるレベルアップの効果を受けない。このエフェクトを取得した場合、侵蝕率基本値を+2する。,,,,,EA,EA-ウェポンマウント,,,,,,,,0
基本1-球電の盾,基本1,ブラックドッグ,一般,球電の盾,キュウテンノタテ,5,5,オートアクション,—,自動成功,自身,至近,2,2,—,,対象を球電で包み込み、攻撃から守るエフェクト。,あなたがガードを行なう際に宣言する。このガードの間、あなたのガード値を+[LV×2]する。,,,,,EA,EA-球電の盾,,,,,,,,0
基本1-電磁誘導,基本1,ブラックドッグ,一般,電磁誘導,テンシユウトウ,3,3,マイナーアクション,—,自動成功,自身,至近,2,2,—,,電流の道を形成し、攻撃に正確性を高めるエフェクト。,そのメインプロセスの間、あなたが行なうブラックドッグのエフェクトを組み合わせた攻撃に対するリアクションのダイスを−LV個する。,,,,,EA,EA-電磁誘導,,,,,,,,0
基本1-マグネットフォース,基本1,ブラックドッグ,一般,マグネットフォース,マクネットフォース,1,1,オートアクション,—,自動成功,自身,至近,2,2,—,,磁力の反発などを利用して、対象をかばうエフェクト。,ダメージロールの直前に使用する。あなたはカバーリングを行なう。このカバーリングによって、あなたは行動済みにならず、あなたが行動済みでも使用できる。このエフェクトは1メインプロセスに1回まで使用できる。,,,,,EA,EA-マグネットフォース,,,,,,,,0
基本1-雷光撃,基本1,ブラックドッグ,一般,雷光撃,ライコウケキ,5,5,メジャーアクション,シンドローム,対決,—,—,2,2,—,,武器を雷で包み込み、威力を高めるエフェクト。,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,,,,,EA,EA-雷光撃,,,,,,,,0
基本1-雷神の鎚,基本1,ブラックドッグ,一般,雷神の鎚,ライシンノツチ,5,5,メジャーアクション,〈RC〉,対決,範囲(選択),視界,3,3,—,,巨大な雷を生みだし、攻撃するエフェクト。,「攻撃力:+6」の射撃攻撃を行なう。この攻撃では、あなたと同じエンゲージにいるキャラクターを対象にできない。このエフェクトは1シナリオにLV回まで使用できる。,,,,,EA,EA-雷神の鎚,,,,,,,,0
基本1-ライトカスタム,基本1,ブラックドッグ,一般,ライトカスタム,ライトカスタム,1,1,常時,—,—,自身,至近,—,0,—,,あなたの身体を機械化し、運動能力に特化させたカスタマイズを施すエフェクト。,【肉体】【感覚】を使用した判定のダイスを+1個する。このエフェクトは侵蝕率によるレベルアップの効果を受けない。このエフェクトを取得した場合、侵蝕率基本値を+2する。,,,,,EA,EA-ライトカスタム,,,,,,,,0
基本1-MAXボルテージ,基本1,ブラックドッグ,一般,MAXボルテージ,マックスホルテーシ,3,3,メジャーアクション,シンドローム,対決,—,—,4,4,80%,,体内の電流を増幅し、攻撃を強めるエフェクト。,このエフェクトを組み合わせた攻撃の攻撃力を+10する。ただし、このエフェクトを組み合わせた攻撃の判定のダイスを−1個する。このエフェクトは1シナリオにLV回まで使用できる。,,,,,EA,EA-MAXボルテージ,,,,,,,,1
基本1-フルインストール,基本1,ブラックドッグ,一般,フルインストール,フルインストール,3,3,イニシアチブプロセス,—,自動成功,自身,至近,5,5,100%,,生体電流の電荷量を上昇させ、神経速度を極限まで速めるエフェクト。,そのラウンドの間、あなたが行なうあらゆる判定のダイスを+[LV×3]個する。このエフェクトは1シナリオに1回まで使用できる。このエフェクトは他のエフェクトと組み合わせて使用できない。,,,,,EA,EA-フルインストール,,,,,,,,2
基本1-電磁反応装甲,基本1,ブラックドッグ,一般,電磁反応装甲,テンシハンノウソウコウ,5,5,オートアクション,—,自動成功,自身,至近,10,10,120%,,瞬間的に電磁バリアを形成し、攻撃を軽減するエフェクト。,HPダメージが適用される直前に使用する。適用される(予定の)HPダメージを−20する。1回のHPダメージに複数回使用した場合、効果は累積する。このエフェクトは1シナリオにLV回まで使用できる。,,,,,EA,EA-電磁反応装甲,,,,,,,,3
基本1-雷鳴の申し子,基本1,ブラックドッグ,一般,雷鳴の申し子,ライメイノモウシコ,3,3,メジャーアクション,シンドローム,対決,—,—,5,5,ピュアブリード,,肉体の限界を超えて、発電細胞に電撃を生じさせるエフェクト。,このエフェクトを組み合わせた攻撃の攻撃力に+あなたの[最大HP−現在のHP]する。ただし、このエフェクトを使用したメインプロセスの終了時にあなたはHPが0となる。このエフェクトは1シナリオにLV回まで使用できる。,,,,,EA,EA-雷鳴の申し子,,,,,,,,5
基本1-赫き剣,基本1,ブラム=ストーカー,一般,赫き剣,アカキケン,5,5,マイナーアクション,—,自動成功,自身,至近,3,3,—,,血液から白兵戦用の武器を製作するエフェクト。形状はあなたの思いのままである。,使用時に[LV×2]以下の任意のHPを消費する。そのシーンの間、あなたは以下のデータの武器を作成し、装備する。,基本1-赫き剣,,30,,EA IA,EA-赫き剣 IA-赫き剣,基本2-破壊の血 IC-血の祝福,,,,,,,0
基本1-赫き弾,基本1,ブラム=ストーカー,一般,赫き弾,アカキタマ,5,5,メジャーアクション,〈射撃〉,対決,—,武器,2,2,—,,弾丸や矢に自分の血を塗り込めることによって、その武器を強化するエフェクト。,このエフェクトを組み合わせた射撃攻撃の攻撃力を+[LV×2]する。ただし、このエフェクトを使用したメインプロセス終了時に、あなたはHPを3点失う。,,,,,EA,EA-赫き弾,,,,,,,,0
基本1-渇きの主,基本1,ブラム=ストーカー,一般,渇きの主,カワキノアルシ,5,5,メジャーアクション,〈白兵〉,対決,単体,至近,4,4,—,,敵から水分を奪って回復するエフェクト。,このエフェクトを組み合わせた白兵攻撃では、対象の装甲値を無視してダメージを算出する。命中した場合、あなたのHPを[LV×4]点回復する。ただし、この攻撃は素手によるものでなければならない。,,,42 43,,EA,EA-渇きの主,,基本1-素手,,,,,,0
基本1-血族,基本1,ブラム=ストーカー,一般,血族,ケツソク,10,10,メジャーアクション,シンドローム,対決,—,—,1,1,—,,血を精密にコントロールし、より高度な力を発揮するエフェクト。,このエフェクトを組み合わせた攻撃の攻撃力を+LVする。,,,,,EA,EA-血族,,,,,,,,0
基本1-赤河の支配者,基本1,ブラム=ストーカー,一般,赤河の支配者,セキカノシハイシャ,5,5,オートアクション,—,自動成功,自身,至近,2,2,—,,血液の流れをコントロールし、血を失わないようにするエフェクト。,あなたへのHPダメージが算出された直後に使用する。あなたが受ける(予定の)ダメージを−[1D+LV×2]点する。,,,,,EA,EA-赤河の支配者,,,,,,,,0
基本1-鮮血の一撃,基本1,ブラム=ストーカー,一般,鮮血の一撃,センケツノイチケキ,5,5,メジャーアクション,〈白兵〉,対決,—,武器,2,2,—,,流した血を操って、思わぬところから攻撃を行なうエフェクト。,このエフェクトを組み合わせた白兵攻撃のダイスを+[LV+1]個する。ただし、このエフェクトを使用したメインプロセス終了時に、あなたはHPを2点失う。,,,,,EA,EA-鮮血の一撃,,,,,,,,0
基本1-血の宴,基本1,ブラム=ストーカー,一般,血の宴,チノウタケ,3,3,メジャーアクション,シンドローム,対決,範囲(選択),—,3,3,—,,血を拡散させて、攻撃範囲を広げるエフェクト。,このエフェクトを組み合わせた攻撃の対象を範囲(選択)に変更する。このエフェクトは1シナリオにLV回まで使用できる。,,,,,EA,EA-血の宴,,,,,,,,0
基本1-不死者の恩寵,基本1,ブラム=ストーカー,一般,不死者の恩寵,フシシャノオンチョウ,3,3,クリンナッププロセス,—,自動成功,自身,至近,5,5,—,,血液中の血小板や白血球を傷口に集中させ、傷を治すエフェクト。,あなたのHPを[(LV)D+【肉体】]点回復する。戦闘中ではない場合、このエフェクトは1シーンに1回まで使用できる。,,,,,EA,EA-不死者の恩寵,,,,,,,,0
基本1-ブラッドコントロール,基本1,ブラム=ストーカー,一般,ブラッドコントロール,フラットコントロール,5,5,マイナーアクション,—,自動成功,自身,至近,2,2,—,,血流をコントロールすることによって、より正確な動きを行なうエフェクト。,そのメインプロセス中に行なうブラム=ストーカーのエフェクトの判定のダイスを+LV個する。,,,,,EA,EA-ブラッドコントロール,,,,,,,,0
基本1-抱擁,基本1,ブラム=ストーカー,一般,抱擁,ホウヨウ,1,1,メジャーアクション,〈RC〉,自動成功,単体,至近,2,2,—,,あなたの血液を注入し、死者を復活させるエフェクト。,このエフェクトはオーヴァードには効果を適用しない。対象の死亡を回復し、HPを1まで回復する。ただし対象はオーヴァードとして覚醒する可能性がある。詳細はGMが決定すること。,,,,,EA,EA-抱擁,,,,,,,,0
基本1-冥府の棺,基本1,ブラム=ストーカー,一般,冥府の棺,メイフノヒツキ,1,1,オートアクション,—,自動成功,自身,至近,2,2,—,,わざと心臓を止め、仮死状態になることによって身体機能を再起動させるエフェクト。,重圧を受けていても使用できる。あなたがバッドステータスを受けた直後に使用する。そのバッドステータスひとつを回復する。ただしバッドステータスの暴走は回復できない。,,,,,EA,EA-冥府の棺,,,,,,,,0
基本1-ブラッドバーン,基本1,ブラム=ストーカー,一般,ブラッドバーン,フラットハーン,3,3,メジャーアクション,シンドローム,対決,—,—,4,4,80%,,全身の血液をエネルギーに変えて攻撃するエフェクト。,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×4]する。ただし、このエフェクトを使用したメインプロセス終了時に、あなたはHPを5点失う。,,,,,EA,EA-ブラッドバーン,,,,,,,,1
基本1-始祖の血統,基本1,ブラム=ストーカー,一般,始祖の血統,シソノケットウ,3,3,メジャーアクション,シンドローム,—,—,—,4,4,100%,,より大量の血を攻撃に付与するエフェクト。,このエフェクトを組み合わせた判定のダイスを+[LV×2]個する。ただし、このエフェクトを使用したメインプロセス終了時に、あなたはHPを3点失う。,,,,,EA,EA-始祖の血統,,,,,,,,2
基本1-不死不滅,基本1,ブラム=ストーカー,一般,不死不滅,フシフメツ,3,3,オートアクション,—,自動成功,自身,至近,4D10,40,120%,,あなたが不死であることを表わすエフェクト。,あなたが戦闘不能となった時に使用する。あなたは戦闘不能を回復し、HPを[LV×10]まで回復する。このエフェクトは1シナリオに1回まで使用できる。,,,,,EA,EA-不死不滅,,,,,,,,3
基本1-滅びの遺伝子,基本1,ブラム=ストーカー,一般,滅びの遺伝子,ホロヒノイテンシ,3,3,オートアクション,—,自動成功,単体,視界,6,6,ピュアブリード,,敵のテロメアを操り瞬時に老化させるエフェクト。,あなたが対象から1点でもダメージを受けた時に使用する。対象に[LV×10]点のHPダメージを与える。このエフェクトは1シナリオに1回まで使用できる。,,,,,EA,EA-滅びの遺伝子,,,,,,,,5
基本1-イージスの盾,基本1,キュマイラ,一般,イージスの盾,イーシスノタテ,3,3,オートアクション,—,自動成功,自身,至近,3,3,—,,相手の攻撃を強引に力で押さえ込むエフェクト。,あなたがガードを行なう際に宣言する。このガードの間、あなたのガード値を+(LV)Dする。,,,,,EA,EA-イージスの盾,,,,,,,,0
基本1-完全獣化,基本1,キュマイラ,一般,完全獣化,カンセンシュウカ,3,3,マイナーアクション,—,自動成功,自身,至近,6,6,—,,肉体を完全な戦闘形態へと変化させるエフェクト。,このシーンの間、【肉体】の能力値を使用したあらゆる判定のダイスを+[LV+2]個する。ただし、このエフェクトが持続している間、素手を除くアイテムはすべて装備、使用不可となる。,,,54,,EA,EA-完全獣化,基本1-究極獣化 基本2-知性ある獣 基本2-神獣擊 IC-巨獣の背 IC-不死なる獣,基本1-素手,IC-アダプトアーマー,,,,,0
基本1-軍神の守り,基本1,キュマイラ,一般,軍神の守り,クンシンノマモリ,1,1,オートアクション,—,自動成功,自身,至近,2,2,—,,研ぎ澄まされた野性の感覚で味方を守護するエフェクト。,ダメージロールの直前に使用する。あなたはカバーリングを行なう。このカバーリングによって、あなたは行動済みにならず、あなたが行動済みでも使用できる。このエフェクトは1メインプロセスに1回まで使用できる。,,,,,EA,EA-軍神の守り,,,,,,,,0
基本1-獣の力,基本1,キュマイラ,一般,獣の力,ケモノノチカラ,5,5,メジャーアクション,〈白兵〉,対決,単体,武器,2,2,—,,人間には不可能なほどの力で攻撃を行なうエフェクト。,このエフェクトを組み合わせた白兵攻撃の攻撃力を+[LV×2]する。,,,,,EA,EA-獣の力,,IC-マスエフェクト,,,,,,0
基本1-殺意の壁,基本1,キュマイラ,一般,殺意の壁,サツイノカヘ,3,3,オートアクション,—,自動成功,単体,至近,2,2,—,,相手を威圧する野獣の殺意を発するエフェクト。,あなたが白兵攻撃の対象となった時に宣言する。そのメインプロセスの間、対象が行なう白兵攻撃の攻撃力を−[LV×3]する。このエフェクトは1ラウンドに1回まで使用できる。,,,,,EA,EA-殺意の壁,,,,,,,,0
基本1-ターゲットロック,基本1,キュマイラ,一般,ターゲットロック,ターケットロック,3,3,セットアッププロセス,—,自動成功,単体,視界,3,3,—,,獲物に狙いを定めて、攻撃の態勢を整えるエフェクト。,そのシーン中、あなたが対象に攻撃を行なった場合、攻撃力を+[LV×3]する。「対象:範囲」のように、対象以外のキャラクターを含めて攻撃する場合、この効果は適用しない。,,,,,EA,EA-ターゲットロック,,,,,,,,0
基本1-破壊の爪,基本1,キュマイラ,一般,破壊の爪,ハカイノツメ,10,10,マイナーアクション,—,自動成功,自身,至近,3,3,—,,あなたの腕を鋭い鉤爪へと変化させるエフェクト。,そのシーンの間、あなたの素手のデータを以下のように変更する。,基本1-破壊の爪,,,,EA IA,EA-破壊の爪 IA-破壊の爪,,基本1-素手,,,,,,0
