id,supplement,category,name,ruby,type,skill,atk,atk_int,initiative,initiative_int,armor,armor_int,dash,dash_int,procure,procure_int,stock,stock_int,exp,exp_int,rec,flavor,effect,price,rec_effect,ref_faq_id,ref_info_id,update,other_ver_id,rel_power_id,rel_weapon_id,rel_armor_id,rel_vehicle_id,rel_connection_id,rel_general_id,rel_dlois_id,cost_order
基本2-モーフィングロボ,基本2,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングロボ,モーフィンクロホ,ヴィークル,解説参照,15,15,−3,,18,18,50m,50,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出したロボット。二足、キャタピラなど細かい外見は作成者の思いのままである。,《ヴィークルモーフィング》が5レベル以上の時のみ作成できる。〈運転:〉のカテゴリーについては作成したキャラクターが作成時に決定すること。,,,,,EA IA,EA-モーフィングロボ IA-モーフィングロボ,基本2-ヴィークルモーフィング,,,,,,,999
上級-フォールンヴィークル,上級,秘密兵器専用アイテム,フォールンヴィークル,フォールンウィークル,ヴィークル,〈運転:~~〉,13,13,−3,,13,13,300m,300,購入不可,,不可,,,,,EXレネゲイドに感染したヴィークル。,〈運転:〉のカテゴリーについてはこのアイテムの取得時に決定すること。また、搭乗している間、あなたが行なうあらゆる判定のダイスを+1個する。,,,,,LM IA,LM-フォールンヴィークル IA-フォールンヴィークル,,,,,,,上級-秘密兵器,999
上級-エキゾチックカー,上級,ユニークアイテム,エキゾチックカー,エキソチックカー,ヴィークル,〈運転:四輪〉,13,13,−3,,6,6,200m,200,,,,,40,40,,見る者をゾクゾクとさせる美しいフォルムと、他を寄せつけない圧倒的なエンジン出力を誇る“走る芸術品”。各社からさまざまな種類のエキゾチックカーが発表されている。代表はスーパーカー。,,,,,,IA,IA-エキゾチックカー,,,,,,,,40
上級-戦闘ヘリ,上級,ユニークアイテム,戦闘ヘリ,セントウヘリ,ヴィークル,〈運転:航空機〉,5,5,−3,,18,18,200m,200,,,,,50,50,,機関砲を搭載した軍用ヘリ。各国の軍隊や傭兵組織で使用されている。,搭乗すると自動的にチェーンガンが装備される。搭乗している間、飛行状態となる。,,,,,IA,IA-戦闘ヘリ,,基本2-チェーンガン,,,,,,50
上級-絆の愛馬,上級,ユニークアイテム:オルクス,絆の愛馬,キスナノアイハ,ヴィークル,〈運転:馬〉,4,4,−1,,—,0,100m,100,,,,,20,20,,EXレネゲイドに感染し、オルクスシンドロームの持ち主との感応性を極限まで高めたオーヴァードホース。,搭乗している間、オルクスのエフェクトを使用した判定のダイスを+1する。,,,,,IA,IA-絆の愛馬,,,,,,,,20
PE-スカイキッド,PE,FHアイテム,スカイキッド,スカイキット,ヴィークル,〈知識:機械操作〉,0,0,0,0,0,0,解説参照,,購入不可,,5,5,,,,FHが開発した、個人用のジェット噴出器。精密に運用するには専門知識が必要となる。,搭乗している間、飛行状態となり、全力移動はあなたの全力移動と同じとなる。また、あなたが行なう戦闘移動を+5mする。,,,,,IA,IA-スカイキッド,,,,,,,,5
PE-FHブレードバイク,PE,FHアイテム,FHブレードバイク,FHフレートハイク,ヴィークル,〈運転:二輪〉,12,12,−1,,—,0,200m,200,購入不可,,8,8,,,,FHが開発した、車体の細さが特徴的なバイク。扱いやすさを重視している。,搭乗している間、あなたが行なう戦闘移動を+10mする。,,,,,IA,IA-FHブレードバイク,,,,,,,,8
PE-FHライトバン,PE,FHアイテム,FHライトバン,FHライトハン,ヴィークル,〈運転:四輪〉,8,8,−5,,10,10,120m,120,購入不可,,10,10,,,,FHが開発した貨物自動車。銃撃戦に巻き込まれても耐えられるだけの防御力を重視している。,,,,,,IA,IA-FHライトバン,,,,,,,,10
PE-スチールギガント,PE,FHアイテム,スチールギガント,スチールキカント,ヴィークル,〈運転:多脚戦車〉,20,20,−10,,20,20,120m,120,購入不可,,50,50,,,,FHが開発した、全長20メートルを超える多脚戦車。,搭乗している間、あなたが装備している武器は使用できない。,,,,,IA,IA-スチールギガント,,,,,,,,50
IC-リニアヴィークル,IC,ユニークアイテム:ブラックドッグ,リニアヴィークル,リニアウィークル,ヴィークル,〈RC〉〈運転:四輪〉,10,10,−2,,3,3,250m,250,,,,,15,15,,ブラックドッグの能力で発生した電力で稼動するリニアモーターが組み込まれた乗り物。搭乗者の思考を電子信号に変換して操縦できる。,搭乗している間、あなたが行なう戦闘移動を+5mする。,,,109,,IA,IA-リニアヴィークル,,,,,,,,15
IC-水上バイク,IC,ジェネラルアイテム,水上バイク,スイショウハイク,ヴィークル,〈運転:船舶〉,6,6,−1,,—,0,200m,200,10,10,4,4,,,,水上で使用できる小型艇。ウォータージェット推進による高速航行性能で、軽快な水上走行が可能。,水上でのみ使用できる。,,,,,IA,IA-水上バイク,,,,,,,,4
IC-乗用馬,IC,ジェネラルアイテム,乗用馬,ショウヨウハ,ヴィークル,〈運転:馬〉,3,3,−2,,—,0,100m,100,12,12,5,5,,,,軍馬や競走馬などの人を乗せるために訓練された馬。生き物であり、上手に扱うには乗り手にも技量が要求される。,,,,,,IA,IA-乗用馬,,,,,,,,5
IC-パーソナルモビリティ,IC,ジェネラルアイテム,パーソナルモビリティ,ハーソナルモヒリティ,ヴィークル,〈運転:二輪〉,0,0,0,0,—,0,50m,50,10,10,5,5,,,,低エネルギーを志向する、未来の乗り物として開発された個人用移動機器。小回りがきくため、建物内部などでも使用できる。,このヴィークルに他のキャラクターは同乗状態になることができない。,,,,,IA,IA-パーソナルモビリティ,,,,,,,,5
IC-スポーツカー,IC,ジェネラルアイテム,スポーツカー,スホーツカー,ヴィークル,〈運転:四輪〉,10,10,−5,,4,4,300m,300,30,30,15,15,,,,通常よりもスピードや高速走行時の運動性能を重視して製造された自動車。,,,,,,IA,IA-スポーツカー,,,,,,,,15
IC-軍用4WD,IC,ジェネラルアイテム,軍用4WD,クンヨウ4WD,ヴィークル,〈運転:四輪〉,10,10,−6,,10,10,150m,150,38,38,25,25,,,,ハンヴィーのような四輪駆動軍用汎用軽車両。不整地での輸送に用いられるほか、車載兵器を搭載して簡易装甲車として用いられることもある。,,,,,,IA,IA-軍用4WD,,,,,,,,25
IC-軽飛行機,IC,ジェネラルアイテム,軽飛行機,ケイヒコウキ,ヴィークル,〈運転:航空機〉,5,5,−3,,—,0,300m,300,40,40,25,25,,,,個人所有が可能な小型飛行機。,搭乗している間、飛行状態となる。,,,,,IA,IA-軽飛行機,,,,,,,,25
IC-潜水艇,IC,ジェネラルアイテム,潜水艇,センスイテイ,ヴィークル,〈運転:船舶〉,5,5,−10,,10,10,80m,80,50,50,33,33,,,,水中活動が可能な民間用の潜水艇。,水中でのみ使用できる。搭乗している間、水中でのペナルティを受けない。,,,,,IA,IA-潜水艇,,,,,,,,33
IC-宇宙船,IC,ジェネラルアイテム,宇宙船,ウチュウセン,ヴィークル,〈運転:宇宙船〉,10,10,−8,,15,15,400m,400,67,67,42,42,,,,大気圏突入能力を備えた小型の宇宙船。,宇宙空間でのみ使用できる。搭乗している間、宇宙空間でのペナルティを受けない。,,,,,IA,IA-宇宙船,,,,,,,,42
UG-コマンドモービル,UG,エンブレムアイテム:UGN支部長,コマンドモービル,コマントモーヒル,エンブレム/ヴィークル,〈運転:四輪〉,12,12,−3,,15,15,180m,180,,,,,30,30,,選ばれた支部長にのみ、乗ることが許される特殊装甲車両。,セットアッププロセスに使用する。あなたはこのアイテムを呼び、搭乗する。また、あなた以外が判定を行なう直前に宣言することで、その判定のダイスを+3個する。この効果は搭乗している間、1シナリオに3回まで使用できる。,,,,,IA,IA-コマンドモービル,,,,,,,,30
UG-幽霊タクシー,UG,エンブレムアイテム:ゼノス,幽霊タクシー,ユウレイタクシー,エンブレム/ヴィークル,〈交渉〉,5,5,−5,,5,5,100m,100,,,,,15,15,,都市伝説を起源とするレネゲイドビーイングのタクシー。運転手はいないが、行き先を伝えれば自動で走る。,搭乗している間、搭乗者は《ハンティングスタイル》を1レベルで取得しているものとして扱う。この《ハンティングスタイル》は侵蝕率によるレベルアップの影響を受けない。,,,,,IA,IA-幽霊タクシー,EA-ハンティングスタイル,,,,,,,15
UG-重装甲トラック,UG,エンブレムアイテム:ストレンジャーズ,重装甲トラック,シュウソウコウトラック,エンブレム/ヴィークル,〈運転:四輪〉,4,4,−6,,12,12,100m,100,,,,,15,15,,ストレンジャーズが一般市街地での作戦行動で使用するトラック。外見は市販の業務用トラックだが、内部は兵員輸送車となっており、兵士一個分隊(8人)を搭乗させられる。,,,,,,IA,IA-重装甲トラック,,,,,,,,15
UG-テクニカル,UG,エンブレムアイテム:鴻央会,テクニカル,テクニカル,エンブレム/ヴィークル,〈運転:四輪〉,6,6,−5,,6,6,100m,100,,,,,15,15,,組同士の抗争で使用する、武装を施したピックアップトラック。,搭乗している間、戦闘移動に+20mし、グレネードランチャーを装備・使用することができる。,,,,,IA,IA-テクニカル,,,,,,,,15
EA-モーフィングバイク,EA,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングバイク,モーフィンクハイク,ヴィークル,〈運転:二輪〉,8,8,0,0,—,0,250m,250,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出した二輪車。細かい外見は作成者の思いのままである。,,,,,,IA,基本2-モーフィングバイク IA-モーフィングバイク,,,,,,,EA-ヴィークルモーフィング,999
EA-モーフィングカー,EA,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングカー,モーフィンクカー,ヴィークル,〈運転:四輪〉,10,10,−2,,8,8,100m,100,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出した乗用車。細かい外見は作成者の思いのままである。,,,,,,IA,基本2-モーフィングカー IA-モーフィングカー,,,,,,,EA-ヴィークルモーフィング,999
EA-モーフィングヘリ,EA,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングヘリ,モーフィンクヘリ,ヴィークル,〈運転:航空機〉,7,7,0,0,—,0,100m,100,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出したヘリコプター。細かい外見は作成者の思いのままである。,搭乗している間、飛行状態となる。,,,,,IA,基本2-モーフィングヘリ IA-モーフィングヘリ,,,,,,,EA-ヴィークルモーフィング,999
EA-モーフィングボート,EA,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングボート,モーフィンクホート,ヴィークル,〈運転:船舶〉,9,9,0,0,—,0,150m,150,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出したモーターボート。細かい外見は作成者の思いのままである。,水上でのみ使用できる。,,,,,IA,基本2-モーフィングボート IA-モーフィングボート,,,,,,,EA-ヴィークルモーフィング,999
EA-モーフィングバイクII,EA,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングバイクII,モーフィングバイクII,ヴィークル,〈運転:二輪〉,11,11,0,0,—,0,300m,300,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出した、高性能の二輪車。細かい外見は作成者の思いのままである。,《ヴィークルモーフィング》が3レベル以上の時のみ作成できる。,,,,,IA,基本2-モーフィングバイクII IA-モーフィングバイクII,,,,,,,EA-ヴィークルモーフィング,999
EA-モーフィングカーII,EA,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングカーII,モーフィングカーII,ヴィークル,〈運転:四輪〉,12,12,−2,,12,12,150m,150,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出した高性能の乗用車。細かい外見は作成者の思いのままである。,《ヴィークルモーフィング》が3レベル以上の時のみ作成できる。,,,,,IA,基本2-モーフィングカーII IA-モーフィングカーII,,,,,,,EA-ヴィークルモーフィング,999
EA-モーフィングヘリII,EA,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングヘリII,モーフィングヘリII,ヴィークル,〈運転:航空機〉,9,9,0,0,—,0,150m,150,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出した高性能のヘリコプター。細かい外見は作成者の思いのままである。,《ヴィークルモーフィング》が3レベル以上の時のみ作成できる。搭乗している間、飛行状態となる。,,,,,IA,IA-モーフィングヘリII,,,,,,,EA-ヴィークルモーフィング,999
EA-モーフィングロボ,EA,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングロボ,モーフィンクロホ,ヴィークル,解説参照,15,15,−3,,18,18,50m,50,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出したロボット。二足、キャタピラなど細かい外見は作成者の思いのままである。,《ヴィークルモーフィング》が5レベル以上の時のみ作成できる。〈運転:〉のカテゴリーについては作成したキャラクターが作成時に決定すること。,,,,,IA,基本2-モーフィングロボ IA-モーフィングロボ,,,,,,,EA-ヴィークルモーフィング,999
LM-フォールンヴィークル,LM,秘密兵器専用アイテム,フォールンヴィークル,フォールンウィークル,ヴィークル,〈運転:~~〉,13,13,−3,,13,13,300m,300,,,,,20,20,,EXレネゲイドに感染したヴィークル。,〈運転:〉のカテゴリーについてはこのアイテムの取得時に決定すること。搭乗している間、あなたが行なう判定のダイスを+1個する。,,,,,IA,上級-フォールンヴィークル IA-フォールンヴィークル,,,,,,,LM-秘密兵器,20
LM-チャリオットバラー,LM,遺産継承者専用アイテム,チャリオットバラー,チャリオットハラー,ヴィークル,〈運転:馬〉,13,13,−1,,6,6,200m,200,購入不可,,不可,,,,,勇将を乗せて山野を越えた騎乗動物。あなたの招きに応じ現われる。,あなたは《戦術》を1レベルで取得する。取得に経験点は必要なく、経験点を使用して成長させることができる。,契約者は代償として速さを追求するようになる。侵蝕率基本値を+3する。,,,,IA,IA-チャリオットバラー,EA-戦術,,,,,,LM-遺産継承者 HR-遺産の器,999
HR-フォールンマシン,HR,秘密兵器専用アイテム,フォールンマシン,フォールンマシン,ヴィークル,〈運転:多脚戦車〉,17,17,−3,,15,15,150m,150,,,,,20,20,,全長3メートル程度の人型ロボ。EXレネゲイドによって完成したオンリーワンな機体。,搭乗している間、“この武器を装備している間、他の武器を装備できない”とある武器を最大4つまで装備できる。,,,,,IA,IA-フォールンマシン,,,,,,,LM-秘密兵器,20
HR-オルトロス,HR,FHアイテム,オルトロス,オルトロス,ヴィークル,〈運転:多脚戦車〉,20,20,−5,,15,15,120m,120,購入不可,,40,40,,,,強化されたオーヴァード用に開発された試作多脚戦車。,搭乗している間、あなたが行なう〈RC〉を使用した攻撃の命中判定に+10する。このヴィークルは“精神強化手術”を3つ取得しているキャラクターのみ、使用することができる。,,,,,IA,IA-オルトロス,,,,,,HR-精神強化手術,,40
RW-ストライクモービル,RW,秘密兵器専用アイテム,ストライクモービル,ストライクモーヒル,ヴィークル,〈運転:~~〉,10,10,−1,,13,13,350m,350,,,,,20,20,,戦闘用に適したヴィークルマシン。,〈運転:〉のカテゴリーは取得時に決定すること。搭乗している間、あなたが行なう攻撃の判定のダイスを+4個する。,,,,,IA,IA-ストライクモービル,,,,,,,LM-秘密兵器,20
RW-バトルトレーラー,RW,秘密兵器専用アイテム,バトルトレーラー,ハトルトレーラー,ヴィークル,〈運転:四輪〉〈運転:多脚戦車〉,12/20,20,−4,,14/20,20,100m,100,,,,,100,100,,普段は巨大なヴィークルだが、命令とともに変形して人型ロボになるEXレネゲイド。,マイナーアクションを使用することで、そのシーンの間、攻撃力、装甲値が/の右側のデータとなる。また、その間、このヴィークルの攻撃力を〈白兵〉で使用できる。このアイテムは経験点を支払うことでしか取得できない。,,,,,IA,IA-バトルトレーラー,,,,,,,LM-秘密兵器,100
NC-スクーター・小型バイク,NC,ジェネラルアイテム,スクーター・小型バイク,スクーター・コカタハイク,ヴィークル,〈運転:二輪〉,2,2,−2,,—,0,100m,100,5,5,2,2,,,,50ccクラスのスクーターや125cc程度の小型バイクなど。高校生にも広く普及している日常の足である。,,,,,,IA,IA-スクーター・小型バイク,,,,,,,,2
NC-歩兵戦闘車,NC,ジェネラルアイテム,歩兵戦闘車,ホヘイセントウシャ,ヴィークル,〈運転:四輪〉,15,15,−6,,15,15,75m,75,45,45,28,28,,,,兵員を輸送するための装甲車両。履帯式と装輪式の両方が存在するが、日本で使われているものの多くは道路事情もあって装輪式。UGNのものは警備会社のものに擬装していることが多い。,,,,,,IA,IA-歩兵戦闘車,,,,,,,,28
NC-ターボスター,NC,ユニークアイテム,ターボスター,ターホスター,ヴィークル,〈運転:二輪〉,8,8,0,0,1,1,250m,250,,,,,30,30,,UGNで試作された電動バイク。モーター駆動特有のすさまじい初速と、極めてピーキーなコーナリング性能を併せ持つ。,このヴィークルに搭乗状態の時、セットアッププロセスに使用する。そのラウンドの間、あなたの【行動値】を+10する。この効果は1シナリオに1回まで使用できる。,,,,,IA,IA-ターボスター,,,,,,,,30
NC-対オーヴァード装甲車,NC,ユニークアイテム,対オーヴァード装甲車,タイオーウァートソウコウシャ,ヴィークル,〈運転:四輪〉,8,8,−6,,8,8,200m,200,,,,,15,15,,UGN、米軍、ストレンジャーズ、特調などで広く用いられている六輪装甲車。レネゲイドの侵蝕を防ぐ特殊素材で装甲されている。“魔街”と呼ばれる場所で試験運用されていたともされるが、定かではない。,搭乗している間、エフェクトを使用した攻撃から受けるダメージを10点軽減する。,,,,,IA,IA-対オーヴァード装甲車,,,,,,,,15
IA-自転車,IA,ジェネラルアイテム,自転車,シテンシャ,ヴィークル,〈運転:二輪〉,2,2,−1,,—,0,[【肉体】+40]m,,5,5,1,1,,,,ママチャリからMTBまで。愛用者は全国にいる。,搭載火器を装備不可。,,,,,,基本1-自転車,,,,,,,,1
IA-スクーター・小型バイク,IA,ジェネラルアイテム,スクーター・小型バイク,スクーター・コカタハイク,ヴィークル,〈運転:二輪〉,2,2,−2,,—,0,100m,100,5,5,2,2,,,,50ccクラスのスクーターや125cc程度の小型バイクなど。高校生にも広く普及している日常の足である。,搭載火器を装備不可。,,,,,,NC-スクーター・小型バイク,,,,,,,,2
IA-水上バイク,IA,ジェネラルアイテム,水上バイク,スイショウハイク,ヴィークル,〈運転:船舶〉,6,6,−1,,—,0,200m,200,10,10,4,4,,,,水上で使用できる小型艇。ウォータージェット推進による高速航行性能で、軽快な水上走行が可能。,水上でのみ使用できる。搭載火器を装備不可。,,,,,,IC-水上バイク,,,,,,,,4
IA-乗用馬,IA,ジェネラルアイテム,乗用馬,ショウヨウハ,ヴィークル,〈運転:馬〉,3,3,−2,,—,0,100m,100,12,12,5,5,,,,軍馬や競走馬などの人を乗せるために訓練された馬。生き物であり、上手に扱うには乗り手にも技量が要求される。,搭載火器を装備不可。,,,,,,IC-乗用馬,,,,,,,,5
IA-バイク,IA,ジェネラルアイテム,バイク,ハイク,ヴィークル,〈運転:二輪〉,5,5,−3,,—,0,200m,200,12,12,5,5,,,,125~400cc、いわゆる中型バイクに区分される。,搭載火器を装備不可。,,,,,,基本1-バイク,,,,,,,,5
IA-パーソナルモビリティ,IA,ジェネラルアイテム,パーソナルモビリティ,ハーソナルモヒリティ,ヴィークル,〈運転:二輪〉,0,0,0,0,—,0,50m,50,10,10,5,5,,,,低エネルギーを志向する、未来の乗り物として開発された個人用移動機器。小回りがきくため、建物内部などでも使用できる。,このヴィークルは同乗状態になることができない。搭載火器を装備不可。,,,,,,IC-パーソナルモビリティ,,,,,,,,5
IA-乗用車,IA,ジェネラルアイテム,乗用車,ショウヨウシャ,ヴィークル,〈運転:四輪〉,10,10,−4,,6,6,100m,100,22,22,8,8,,,,典型的な乗用車。ナンバーでも覚えない限り、特定は難しい。,搭載火器を装備不可。,,,,,,基本1-乗用車,,,,,,IA-†イリーガルモービル,,8
IA-モーターボート,IA,ジェネラルアイテム,モーターボート,モーターホート,ヴィークル,〈運転:船舶〉,7,7,−1,,—,0,100m,100,22,22,8,8,,,,エンジンが搭載されたボート。,このヴィークルは水上でのみ使用できる。搭載火器を装備不可。,,,,,,基本1-モーターボート,,,,,,IA-†イリーガルモービル,,8
IA-大型バイク,IA,ジェネラルアイテム,大型バイク,オオカタハイク,ヴィークル,〈運転:二輪〉,12,12,−5,,—,0,250m,250,25,25,15,15,,,,400ccを超えるバイク。燃費が悪い。,,,,,,,基本2-大型バイク,,,,,,,,15
IA-スポーツカー,IA,ジェネラルアイテム,スポーツカー,スホーツカー,ヴィークル,〈運転:四輪〉,10,10,−5,,4,4,300m,300,30,30,15,15,,,,通常よりもスピードや高速走行時の運動性能を重視して製造された自動車。,,,,,,,IC-スポーツカー,,,,,,,,15
IA-移動販売車,IA,ジェネラルアイテム,移動販売車,イトウハンハイシャ,ヴィークル,〈運転:四輪〉,6,6,−6,,5,5,70m,70,40,40,20,20,,,,トラックやワゴン車などを改造し、移動する店舗とした車両。,あなたが行なう〈調達〉〈情報:~~〉判定の達成値に+1する。この効果はあなたが搭乗状態にならなくても、この修正は適用する。搭載火器を装備不可。,,,,,,,,,,,,,,20
IA-貨物自動車,IA,ジェネラルアイテム,貨物自動車,カモツシトウシャ,ヴィークル,〈運転:四輪〉,12,12,−6,,6,6,100m,100,30,30,20,20,,,,いわゆるトラック。中型、大型になると専用の免許が必要。,,,,,,,基本2-貨物自動車,,,,,,,,20
IA-ヘリ,IA,ジェネラルアイテム,ヘリ,ヘリ,ヴィークル,〈運転:航空機〉,5,5,−3,,—,0,100m,100,35,35,20,20,,,,民間用のヘリコプター。,あなたと同乗者は飛行状態となる。,,,,,,基本1-ヘリ,,,,,,IA-†イリーガルモービル,,20
IA-SUV,IA,ジェネラルアイテム,SUV,SUV,ヴィークル,〈運転:四輪〉,15,15,−5,,7,7,80m,80,36,36,24,24,,,,悪路踏破性が高い四輪駆動車。舗装されていない道でも、どんどん入っていける。,,,,,,,基本1-SUV,,,,,,,,24
IA-軍用4WD,IA,ジェネラルアイテム,軍用4WD,クンヨウWD,ヴィークル,〈運転:四輪〉,10,10,−6,,10,10,150m,150,38,38,25,25,,,,ハンヴィーのような四輪駆動軍用汎用軽車両。不整地での輸送に用いられるほか、車載兵器を搭載して簡易装甲車として用いられることもある。,レアアイテム。,,,,,,IC-軍用4WD,,,,,,,,25
IA-軽飛行機,IA,ジェネラルアイテム,軽飛行機,ケイヒコウキ,ヴィークル,〈運転:航空機〉,5,5,−3,,—,0,300m,300,40,40,25,25,,,,個人所有が可能な小型飛行機。,あなたと同乗者は飛行状態となる。レアアイテム。,,,,,,IC-軽飛行機,,,,,,,,25
IA-高級車,IA,ジェネラルアイテム,高級車,コウキュウシャ,ヴィークル,〈運転:四輪〉,10,10,−4,,8,8,150m,150,35,35,25,25,,,,リムジンのような高級車両。,レアアイテム。,,,,,,基本2-高級車,,,,,,,,25
