id,q,a,refed_power_id,refed_weapon_id,refed_armor_id,refed_vehicle_id,refed_connection_id,refed_general_id,refed_dlois_id,refed_elois_id
64,使用者が取得している「制限:ピュアブリード」や「制限:RB」のエフェクトを、《融合》の対象に使用させることはできますか。,できるものとします。,基本2-融合 EA-融合,,,,,,,
65,使用者が取得しているDロイスを、《融合》で他のキャラクターに使用させることはできますか。,できないものとします。,基本2-融合 EA-融合,,,,,,,
66,使用者が取得している「制限:Dロイス」のエフェクトを、《融合》で他のキャラクターに使用させることはできますか。,できないものとします。,基本2-融合 EA-融合,,,,,,,
67,従者が《融合》を使用した場合、《愚者の兵装》で取得したアイテムを装備、使用できますか？,可能です。《融合》を使用した際に、装備してください。また、アクションを使用して装備を変更してもかまいません。,基本2-愚者の兵装 基本2-融合 EA-愚者の兵装 EA-融合,,,,,,,
68,《融合》を《コズミックインフレーション》で対象を変更できますか？,《融合》はあらゆる効果で対象を単体から変更できないものとします。,基本2-コズミックインフレーション 基本2-融合 EA-コズミックインフレーション EA-融合,,,,,,,
69,使用者が《融合》を解除した場合、《融合》の対象が使用していた、持続しているエフェクトの効果はどうなりますか？,《融合》が解除されたことによって、《融合》の対象が使用できなくなるエフェクトを使用していた場合、その効果は解除されます。,基本2-融合 EA-融合,,,,,,,
70,《物質合成》で、回数制限が0回となったアイテムを選択できますか？,できないものとします。,基本2-物質合成 EA-物質合成,,,,,,,
71,《物質合成》で選択したアイテムの効果はどうなりますか？,選択したアイテムすべての効果を適用してください。回数制限や、「同じエンゲージのキャラクターを攻撃できない」のような効果も適用されることに注意してください。,基本2-物質合成 EA-物質合成,,,,,,,
72,《物質合成》で選択したアイテムふたつに、それぞれ使用回数制限がついていた場合、どのように処理すればよいですか？,双方同時に適用してください。「1シナリオに3回」使用できる武器と、「1シーンに1回」使用できる武器を合成した場合、「1シーンに1回、1シナリオに3回使用できる武器」になります。ただし、「1シナリオに3回」と「1シナリオに1回」のように同じ時間単位の回数制限がかかっていた場合、より小さい方を適用してください。この場合、「1シナリオに1回」となります。,基本2-物質合成 EA-物質合成,,,,,,,
73,《物質合成》で選択したアイテムふたつに、それぞれマイナーアクションを使った効果がついていた場合、それらは同時に使用できますか？,できません。「マイナーアクションで〈射撃〉の達成値を上げる」効果と、「マイナーアクションで攻撃の対象を範囲(選択)にする」効果の武器を合成した場合、装備しているキャラクターはマイナーアクションを使用して、どちらか片方の効果を得ることを選択できます。,基本2-物質合成 EA-物質合成,,,,,,,
74,素手と別の武器を選択した《物質合成》で作成されたアイテムは、素手として扱われますか？,素手としては扱いません。,基本2-物質合成 EA-物質合成,,,,,,,
75,《ダブルクリエイト》に《インフィニティウェポン》と《ハンドレッドガンズ》などを組み合わせて、それぞれの武器をふたつずつ作成することはできますか？,可能です。,基本2-ダブルクリエイト EA-ダブルクリエイト,,,,,,,
76,《ギガンティックモード》は、《インスタントボム》などを使用していて武器をひとつも装備していない状態でも使用することはできますか？,可能です。,基本1-ギガンティックモード EA-ギガンティックモード,,,,,,,
77,《守りの弾》は、「技能:〈射撃〉」の武器を装備していなくても使用できますか？,使用できないものとします。,基本2-守りの弾 EA-守りの弾,,,,,,,
78,《カウンター》を使用した際、《ギガンティックモード》など対象を変更するエフェクトを組み合わせた場合、どのように処理するのでしょうか？,対象は変更できないものとします。《カウンター》は、自分に攻撃を行なったキャラクターのみを攻撃の対象にできるものとします。,基本1-カウンター EA-カウンター,,,,,,,
79,《ラストアクション》によるメインプロセスの間に、この《ラストアクション》の使用したキャラクターの戦闘不能やHPを回復することはできますか。,HPを回復することは可能ですが、《ラストアクション》によるメインプロセスの間、《ラストアクション》の使用したキャラクターは戦闘不能は適用されていないため、戦闘不能を回復できません。また、HPを回復しても、《ラストアクション》によるメインプロセスの終了時に戦闘不能が適用され、HPも0となります。,基本1-ラストアクション EA-ラストアクション,,,,,,,
80,《マルチウェポン》や《ヴァリアブルウェポン》を組み合わせた攻撃で、使用した武器に特殊な効果がある場合、その武器の効果を適用できますか？,《マルチウェポン》や《ヴァリアブルウェポン》で使用した武器すべての効果を適用してください。回数制限や、「同じエンゲージのキャラクターを攻撃できない」のような効果もそれぞれ適用されることに注意してください。,基本1-マルチウェポン 基本2-ヴァリアブルウェポン EA-ヴァリアブルウェポン,,,,,,,
81,アンチマテリアルライフルのように、「この武器を装備している間、他の武器は装備できない」と書かれた武器を《ヴァリアブルウェポン》で使用できますか？,できないものとします。ただし《パワーアーム》など、「この武器を装備している間、他の武器は装備できない」という効果を打ち消すエフェクトを取得している場合、使用できるものとします。,基本2-ヴァリアブルウェポン EA-ヴァリアブルウェポン,,,,,,,
82,チェーンガンのように、装備に条件のあるアイテムを《ヴァリアブルウェポン》で使用できますか？,装備するアイテムの条件を満たしていれば使用可能です。,基本2-ヴァリアブルウェポン EA-ヴァリアブルウェポン,,,,,,,
83,《マルチウェポン》や《ヴァリアブルウェポン》で素手を装備していた場合、「素手でのみ使用可能」というエフェクトを使用できますか？,できません。,基本1-マルチウェポン 基本2-ヴァリアブルウェポン EA-マルチウェポン EA-ヴァリアブルウェポン,,,,,,,
84,〈白兵〉を指定している《コンバットシステム》を取得したキャラクターが、別のエフェクトとして〈射撃〉を指定した《コンバットシステム》を取得できますか？,できません。,基本1-コンバットシステム EA-コンバットシステム,,,,,,,
85,《ラストアクション》は未行動でなければ使用できませんか？,戦闘不能になる前の状態が未行動でも行動済みでも《ラストアクション》は使用できます。,基本1-ラストアクション EA-ラストアクション,,,,,,,
86,未行動のキャラクターが《ラストアクション》を使用した後、行動済みになりますか？,なりません。,基本1-ラストアクション EA-ラストアクション,,,,,,,
87,《ブラッドバーン》を使用したメインプロセスで、《ラストアクション》を使用された場合、《ブラッドバーン》によってHPを失うのは《ラストアクション》によるメインプロセスの終了時ですか？,いいえ。《ラストアクション》によるメインプロセスではなく、《ブラッドバーン》を使用したキャラクターのメインプロセスが終了した際に、HPを失ってください。,基本1-ラストアクション EA-ラストアクション,,,,,,,
88,《ハンドリング》を使用してシーンに登場した場合、シーン登場による侵蝕率の上昇は行ないますか？,《ハンドリング》による登場でも、侵蝕率の上昇を行なうものとします。,基本1-ハンドリング EA-ハンドリング,,,,,,,
89,《ナーブジャック》によって行動済みのキャラクターにメジャーアクションを行なわせることはできますか？,可能です。,基本1-ナーブジャック EA-ナーブジャック,,,,,,,
90,《ナーブジャック》を未行動のキャラクターに使用した場合、その未行動のキャラクターは行動済みになりますか？,なりません。,基本1-ナーブジャック EA-ナーブジャック,,,,,,,
91,《極大消滅波》のダメージにカバーリングは可能ですか？,可能です。ただし、《極大消滅波》にはリアクションできないため、カバーリングをしてもガードを行なうことはできません。,基本1-極大消滅波 基本2-黒星粉砕 IC-裏切りの真名 RU-精髄吸収 EA-黒星粉砕 EA-極大消滅波 EA-裏切りの真名 UA-絶対攻撃,,,,,,,
92,《災厄の炎》に対して《孤独の魔眼》などのエフェクトで対象を変更することはできますか？,可能です。《災厄の炎》の「このエフェクトの対象、射程は変更できない」は、組み合わせによって変更されないという意味と考えてください。,IC-災厄の炎 EA-災厄の炎,,,,,,,
93,《災厄の炎》と《インフェルノ》のように、対象をそれぞれ範囲(選択)と単体から変更できないエフェクト同士を組み合わせることはできますか？,できません。組み合わせた結果、対象や射程に矛盾が生じるような組み合わせは行なえないものとして処理してください。,IC-災厄の炎 EA-災厄の炎,,,,,,,
94,《オーバードーズ》を組み合わせたエフェクトの効果が持続する場合、どう処理すればよいでしょうか？,《オーバードーズ》の効果はそのメインプロセスの終了までです。そのため、メインプロセスの終了後も持続するエフェクトの効果は《オーバードーズ》を適用していないものとして算出してください。,基本1-オーバードーズ EA-オーバードーズ,,,,,,,
95,《帰還の声》で、まだ使用していないエフェクトの使用回数制限を増やすことはできますか？,できません。,基本2-帰還の声 IC-アナザーセルフ RU-闘争の渦 EA-アナザーセルフ EA-帰還の声 HR-悪食の蛇 RW-ハイブリーディング UA-永劫の力,,,,,,,
96,《加速する刻》のように、使用回数制限が複数あるエフェクトに《帰還の声》を使用した場合、どうなりますか？,エフェクトが持つ、すべての使用回数制限が1回分ずつ回復します。,基本2-帰還の声 IC-アナザーセルフ RU-闘争の渦 EA-アナザーセルフ EA-帰還の声 HR-悪食の蛇 RW-ハイブリーディング UA-永劫の力,,,,,,,
97,従者を作り出したキャラクターに《散滅の腕》を使用した場合、作り出した従者はすべて消滅しますか？,消滅しません。,上級-ファストフォワード IC-散滅の腕 RU-ネガティブパルス EA-散滅の腕 LM-ファストフォワード UA-ディスラプター,,,,,,,
98,《インフィニティウェポン》のように、アイテムを作り出すエフェクトを使用したキャラクターに《散滅の腕》を使用した場合、作り出したアイテムは消滅しますか？,消滅しません。《散滅の腕》でエフェクトによって作成されたアイテムは消滅しないものとします。,上級-ファストフォワード IC-散滅の腕 RU-ネガティブパルス EA-散滅の腕 LM-ファストフォワード UA-ディスラプター,,,,,,,
99,《コンセントレイト》や《リフレックス》のように、選択したシンドロームのエフェクトとして扱う一般エフェクトは、ブリードによる最大レベルの修正を受けますか？,受けません。,基本1-コンセントレイト 基本1-リフレックス EA-コンセントレイト EA-リフレックス,,,,,,,
100,《ハイリザレクト》を取得しているキャラクターが《リザレクト》でHPを回復した場合、《リザレクト》で上昇する侵蝕率も増加しますか？,増加しません。《リザレクト》で回復した分のみ、侵蝕率を上昇させてください。,IC-ハイリザレクト EA-ハイリザレクト,,,,,,,
101,ウェポンケースで選択するアイテムは、取得時に持っているアイテムでなくてはなりませんか？,GMが認めれば、選択するアイテムを入れ替えてかまいません。戦闘中の場合、メジャーアクションを使用するものとします。,,,,,,基本1-ウェポンケース,,
