id,supplement,category,name,ruby,type,procure,procure_int,stock,stock_int,exp,exp_int,rec,flavor,effect,price,rec_effect,ref_weapon_id,ref_faq_id,ref_info_id,update,other_ver_id,rel_power_id,rel_weapon_id,rel_armor_id,rel_vehicle_id,rel_connection_id,rel_general_id,rel_dlois_id,type_order,cost_order
基本1-モバイルPC,基本1,ジェネラルアイテム,モバイルPC,モバイルPC,一般,8,8,2,2,,,,携帯性に優れたPC。デキるビジネスマンのマストアイテム。,〈情報:ウェブ〉の判定のダイスに+1個する。,,,,,,IA,IA-モバイルPC,,,,,,,,0,2
基本1-応急手当キット,基本1,ジェネラルアイテム,応急手当キット,オウキュウテアテキット,使い捨て,8,8,3,3,,,,救急箱。,メジャーアクションで使用することで、あなたのHPを2D10点回復させる。戦闘中は使用できない。,,,,,,IA,IA-応急手当キット,,,,,,,,1,3
基本1-暗視ゴーグル,基本1,ジェネラルアイテム,暗視ゴーグル,アンシコークル,一般,11,11,5,5,,,,光量を増幅させるゴーグル。,暗闇で行なう判定のペナルティを無視できる。,,,,,,IA,IA-暗視ゴーグル,,,,,,,,0,5
基本1-対ワーディングマスク,基本1,ジェネラルアイテム,対ワーディングマスク,タイワーティンクマスク,一般,15,15,5,5,,,,,オーヴァードでなくても、所持していることで《ワーディング》の効果を無効化できる。,,,,,,IA,IA-対ワーディングマスク,基本1-ワーディング EA-ワーディング,,,,,,,0,5
基本2-医療トランク,基本2,ジェネラルアイテム,医療トランク,イリョウトランク,一般,20,20,10,10,,,,大きめのトランクに入った医療器具や薬品のセット。応急手当キットと違い作業の時間はかかるが、複数回使用できる。,メジャーアクションで使用することで、あなたのHPを2D10点回復させる。戦闘中は使用できない。この効果は1シーンに1回まで使用できる。,,,,,,IA,IA-医療トランク,,,,,,,,0,10
基本2-自動巡回ソフト,基本2,ジェネラルアイテム,自動巡回ソフト,シトウシュンカイソフト,一般,5,5,2,2,,,,自動的に情報を収集するソフト。,〈情報:ウェブ〉または〈情報:噂話〉による判定の直前に使用する。その判定のダイスを+1個する。,,,,,,IA,IA-自動巡回ソフト,,,,,,,,0,2
基本2-使用人,基本2,ジェネラルアイテム,使用人,シヨウニン,一般,購入不可,,3,3,,,,あなた付きのエキストラ。このエキストラは、部下であったり、付き人であったり、執事であったりする。関係は取得時に決定すること。,,,,,,,IA,IA-使用人,,,,,,,,0,3
基本2-クレジットデータ,基本2,ジェネラルアイテム,クレジットデータ,クレシットテータ,一般,購入不可,,不可,,,,,電子化されたお金。しかるべき手順を取れば、使うことが可能である。,メジャーアクションで使用する。使用したキャラクターの財産ポイントに+5する。増えた分の財産ポイントは、アフタープレイで失われる。,,,,,,IA,IA-クレジットデータ,,,,,,,,0,999
基本2-セーフハウス,基本2,ジェネラルアイテム,セーフハウス,セーフハウス,使い捨て,15,15,10,10,,,,いわゆる隠れ家。,情報収集シーンに行なう〈情報:〉の判定の達成値に+1する。このアイテムはひとつしか常備化できない。,,,,,,IA,IA-セーフハウス,,,,,,,,1,10
基本2-レネゲイドチェッカー,基本2,ジェネラルアイテム,レネゲイドチェッカー,レネケイトチェッカー,使い捨て,16,16,11,11,,,,サングラス型のオーヴァード検知器。,シーンに登場しているキャラクターが《ワーディング》を使用した直後に、オートアクションで使用する。その《ワーディング》を使用したキャラクターのブリード、シンドロームがすべて分かる。,,,,,,IA,IA-レネゲイドチェッカー,基本1-ワーディング EA-ワーディング,,,,,,,1,11
基本2-抗レネゲイド弾,基本2,ジェネラルアイテム,抗レネゲイド弾,コウレネケイトタン,使い捨て,22,22,17,17,,,,抗レネゲイド薬を内包した弾丸。,マイナーアクションで使用する。そのメインプロセスに行なう「種別:射撃」の武器による攻撃が命中した場合、そのラウンドの間、対象が行なうあらゆる判定のダイスを−1個する。この効果はオーヴァードのキャラクターのみに適用する。,,,,,,IA,IA-抗レネゲイド弾,,,,,,,,1,17
基本2-シルバーハンマー,基本2,ジェネラルアイテム,シルバーハンマー,シルハーハンマー,使い捨て,20,20,17,17,,,,筋力強化薬。,マイナーアクションで使用する。そのメインプロセスの間、あなたが行なう白兵攻撃の攻撃力に+5する。ただし、使用することであなたの侵蝕率に+5する。,,,,,,IA,IA-シルバーハンマー,,,,,,,,1,17
基本2-ブラックアビス,基本2,ジェネラルアイテム,ブラックアビス,フラックアヒス,使い捨て,20,20,17,17,,,,レネゲイドを活性化させる薬。,マイナーアクションで使用する。そのラウンドの間、あなたが行なうあらゆる判定のダイスに+2個する。ただし、使用することであなたの侵蝕率に+10する。,,,,,,IA,IA-ブラックアビス,,,,,,,,1,17
基本2-ブルーゲイル,基本2,ジェネラルアイテム,ブルーゲイル,フルーケイル,使い捨て,20,20,17,17,,,,反射スピードを上げる薬。,セットアッププロセスに使用する。そのラウンドの間、【行動値】に+5する。ただし、使用することであなたの侵蝕率に+5する。,,,,,,IA,IA-ブルーゲイル,,,,,,,,1,17
基本2-RCブースター,基本2,エフェクトアイテム:ブラックドッグ専用アイテム,RCブースター,RCブースター,一般,購入不可,,不可,,,,,あなたの身体に埋め込まれた、レネゲイドコントロールを補助する装備。,あなたの行なう〈RC〉判定の達成値に+2する。複数取得した場合、この効果は重複する。,,,,,,EA IA,EA-RCブースター IA-RCブースター,,,,,,,,0,999
基本2-ダーマルプレート,基本2,エフェクトアイテム:ブラックドッグ専用アイテム,ダーマルプレート,ターマルフレート,一般,購入不可,,不可,,,,,皮膚の下に埋め込む装甲板。肉体の耐久力を強化する。,あなたのHP最大値を+5する。複数取得した場合、この効果は重複する。,,,,,,EA IA,EA-ダーマルプレート IA-ダーマルプレート,,,,,,,,0,999
基本2-バトルマニューバ,基本2,エフェクトアイテム:ブラックドッグ専用アイテム,バトルマニューバ,ハトルマニューハ,一般,購入不可,,不可,,,,,特殊なプログラムで戦闘動作を最適化する。,あなたの行なう〈白兵〉判定の達成値を+2する。複数取得した場合、この効果は重複する。,,,,,,EA IA,EA-バトルマニューバ IA-バトルマニューバ,,,,,,,,0,999
基本2-マグネットコーティング,基本2,エフェクトアイテム:ブラックドッグ専用アイテム,マグネットコーティング,マクネットコーティンク,一般,購入不可,,不可,,,,,あなたの身体に埋め込まれた、電磁波による防御壁を作り出す装置。,あなたの行なうガードのガード値を+2する。複数取得した場合、この効果は重複する。,,,,,,EA IA,EA-マグネットコーティング IA-マグネットコーティング,,,,,,,,0,999
基本2-ロックオンサイト,基本2,エフェクトアイテム:ブラックドッグ専用アイテム,ロックオンサイト,ロックオンサイト,一般,購入不可,,不可,,,,,知覚系に埋め込む照準器。,あなたの行なう〈射撃〉判定の達成値を+2する。複数取得した場合、この効果は重複する。,,,,,,EA IA,EA-ロックオンサイト IA-ロックオンサイト,,,,,,,,0,999
基本2-従者の衣,基本2,エフェクトアイテム:従者専用アイテム,従者の衣,シュウシャノコロモ,一般,購入不可,,不可,,,,,従者の皮膚を、鎧のように強化する。,従者の装甲値を+2する。複数取得した場合、この効果は重複する。このアイテムは従者にのみ効果を適用する。,,,,,,EA IA,EA-従者の衣 IA-従者の衣,,,,,,,,0,999
上級-Rコントローラー,上級,秘密兵器専用アイテム,Rコントローラー,Rコントローラー,一般,購入不可,,不可,,,,,腕に装着する形の、レネゲイド増幅器。効果は強力だが、使用回数に制限がある。,〈RC〉の判定の直前に使用する。その判定のダイスを+5個する。この効果は1シナリオに3回まで使用できる。,,,,,,LM IA,LM-Rコントローラー IA-Rコントローラー,,,,,,,上級-秘密兵器,0,999
上級-トゥルースサイト,上級,秘密兵器専用アイテム,トゥルースサイト,トゥルースサイト,一般,購入不可,,不可,,,,,EXレネゲイドに感染した多機能ゴーグル。あらゆる状況への対応を可能とする、さまざまな機能を持つ。,あらゆる判定の直前に使用する。その判定のダイスに+3個する。この効果は1シナリオに3回まで使用できる。,,,,,,LM IA,LM-トゥルースサイト IA-トゥルースサイト,,,,,,,上級-秘密兵器,0,999
上級-特殊装甲義肢,上級,秘密兵器専用アイテム,特殊装甲義肢,トクシュソウコウキシ,一般,購入不可,,不可,,,,,最新型の義肢。軍用装甲と強化筋肉を導入している。,ブラックドッグのシンドロームを持つキャラクターのみ取得できる。素手の攻撃力を+4、ガード値を+3する。さらに、あなたが行なう〈白兵〉判定のダイスを+1個する。複数取得しても効果は重複しない。,,,,,,LM IA,LM-特殊装甲義肢 IA-特殊装甲義肢,,,,,,,上級-秘密兵器,0,999
上級-ブレイカー,上級,秘密兵器専用アイテム,ブレイカー,フレイカー,一般,購入不可,,不可,,,,,レネゲイドに干渉して内部から破壊するヘアピン型装置。,シーンに登場しているキャラクターが行なう攻撃の直前に使用する。その攻撃では、対象の装甲値を無視してダメージを算出する。この効果は1シーンに1回まで使用できる。,,,,,,LM IA,LM-ブレイカー IA-ブレイカー,,,,,,,上級-秘密兵器,0,999
上級-レジェンドアーマー,上級,秘密兵器専用アイテム,レジェンドアーマー,レシェントアーマー,一般,購入不可,,不可,,,,,あなたの持っている防具は、伝説の一品である。その能力は他のものと比べて段違いに高い。,取得時にあなたが常備化している防具ひとつを選択すること。その防具の装甲値を+5、ドッジと【行動値】への修正を+2(最大0)する。,,,,,,LM IA,LM-レジェンドアーマー IA-レジェンドアーマー,,,,,,,上級-秘密兵器,0,999
上級-レジェンドヴィークル,上級,秘密兵器専用アイテム,レジェンドヴィークル,レシェントウィークル,一般,購入不可,,不可,,,,,あなたの持っているヴィークルは、伝説の一品である。その能力は他のものと比べて段違いに高い。,取得時にあなたが常備化しているヴィークルひとつを選択すること。そのヴィークルの攻撃力を+5、全力移動を+50mする。,,,,,,LM IA,LM-レジェンドヴィークル IA-レジェンドヴィークル,,,,,,,上級-秘密兵器,0,999
上級-レジェンドウェポン,上級,秘密兵器専用アイテム,レジェンドウェポン,レシェントウェホン,一般,購入不可,,不可,,,,,あなたの持っている武器は、伝説の一品である。その能力は他のものと比べて段違いに高い。,取得時にあなたが常備化している武器ひとつを選択すること。その武器の攻撃力を+3する。さらに、選択した武器が「種別:白兵」の場合はガード値に+2、「種別:射撃」の場合は射程に+10mする。,,,,,,LM IA,LM-レジェンドウェポン IA-レジェンドウェポン,,,,,,,上級-秘密兵器,0,999
上級-ダメージグローブ,上級,ユニークアイテム,ダメージグローブ,タメーシクローフ,一般,,,,,10,10,,装着すると、ピタリと手に吸い付くような謎の素材による手袋。,このアイテムを所持していると、あなたの素手のデータを以下のように変更する。あなたがなんらかのエフェクトで素手のデータを変更した場合、このアイテムの効果は失われる。,,,上級-ダメージグローブ,,,IA,IA-ダメージグローブ,,基本1-素手,,,,,,0,10
上級-パナケイアの果実,上級,ユニークアイテム,パナケイアの果実,ハナケイアノカシツ,使い捨て,,,,,15,15,,EXレネゲイドが結晶化し、まるで桃やリンゴ、柑橘類のような果実の形を取ったもの。,メジャーアクションで使用することで、あなたのHPを5D10点回復させる。このアイテムは最大でひとつまでしか持つことができない。,,,,,,IA,IA-パナケイアの果実,,,,,,,,1,15
上級-ミスティックアイ,上級,ユニークアイテム:エンジェルハィロゥ,ミスティックアイ,ミスティックアイ,一般,,,,,20,20,,エンジェルハィロゥの超知覚能力を強化するミラーシェードタイプのサングラス。ただし強化された感覚の反動は、神経に大きな負荷をかける。,セットアッププロセスに使用することで、このラウンドの間、あなたが行なう【感覚】と【精神】の判定のダイスに+2する。この効果を使用するたびに、あなたはHP3点を失う。この効果は1シーンに1回まで使用できる。,,,,,,IA,IA-ミスティックアイ,,,,,,,,0,20
上級-時の砂時計,上級,ユニークアイテム:バロール,時の砂時計,トキノスナトケイ,使い捨て,,,,,30,30,,砂がすべて魔眼であり、重力を制御しなければ持ち上げることすらできない砂時計。,シーン内のキャラクターが「タイミング:オートアクション」のエフェクトを使用した直後に宣言する。使用されたエフェクトの効果を打ち消す。ただし「制限:—」以外のエフェクト、およびエネミーエフェクトは打ち消せない。打ち消したエフェクトの達成値が必要な場合、0とする。このアイテムは最大でひとつまでしか持つことができない。,,,,,,IA,IA-時の砂時計,,,,,,,,1,30
上級-ブラックダイアモンド,上級,ユニークアイテム:バロール,ブラックダイアモンド,フラックタイアモント,一般,,,,,10,10,,奇妙なワーディング現象を引き起こす伝説のダイアモンド。,《ワーディング》の際に使用することで、エキストラと周囲の物体の時間を止めることができる。止まった時間の中で破壊された物体は、《ワーディング》が解けると同時に元通りに復元される。また、止まった時間の中ではオーヴァードの殺意ある行動以外の原因で、エキストラが死亡することはない(戦闘の巻き添えになることはない)。詳細はGMが決定すること。,,,,,,IA,IA-ブラックダイアモンド,基本1-ワーディング EA-ワーディング,,,,,,,0,10
上級-完全義体,上級,ユニークアイテム:ブラックドッグ,完全義体,カンセンキタイ,一般,,,,,60,60,,脳以外、肉体すべてを機械に換装した義体。ブラックドッグ能力によってエネルギーを供給されている。,機械であることを見破るには〈知覚〉による対決に勝利しなければならない。このアイテムを所持していると、あなたは装甲値に+10され(防具と重複する)、素手のデータが以下のように変更となる。,,,上級-完全義体,,,IA,IA-完全義体,,基本1-素手,,,,,,0,60
上級-薔薇の棺,上級,ユニークアイテム:ブラム=ストーカー,薔薇の棺,ハラノヒツキ,一般,,,,,20,20,,朽ちることのない薔薇の花びらが敷き詰められた、EXレネゲイドに感染した棺。中で休んだブラム=ストーカーシンドロームの者の血液を浄化し、その心身をリフレッシュする。,メジャーアクションで使用する。あなたの【HP】を完全に回復する。ただし、このアイテムは戦闘中に使用することはできず、あなたは次のシーンに登場できない。この効果は1シナリオに1回まで使用できる。,,,,,,IA,IA-薔薇の棺,,,,,,,,0,20
上級-エシジェン結晶,上級,ユニークアイテム:キュマイラ,エシジェン結晶,エシシェンケッショウ,使い捨て,,,,,10,10,,EXレネゲイドに感染した、不可思議な結晶。柔らかな光を放つ透明な結晶だが、キュマイラシンドロームの者がかじると、その皮膚に水晶状の物質を結晶化させる。味はかなり苦い。,「タイミング:マイナーアクション」のキュマイラのエフェクトをあなたが使用する直前に使用する。このシーンの間、あなたの装甲値を+5する。この効果は重複しない。,,,,,,IA,IA-エシジェン結晶,,,,,,,,1,10
上級-禍々しき木の実,上級,ユニークアイテム:キュマイラ,禍々しき木の実,マカマカシキキノミ,使い捨て,,,,,15,15,,EXレネゲイドに感染した特殊な植物になる、奇妙な木の実。キュマイラシンドロームの者がかじると、すさまじいパワーをその身に宿らせる。味はただ甘い。,「タイミング:マイナーアクション」のキュマイラのエフェクトをあなたが使用する直前に使用する。このシーンの間、あなたの素手のダメージに+5する。この効果は重複しない。,,,,,,IA,IA-禍々しき木の実,,基本1-素手,,,,,,1,15
上級-蠱毒の壷,上級,ユニークアイテム:エグザイル,蠱毒の壷,コトクノツホ,一般,,,,,20,20,,はるか昔から伝わる呪術の手法で精製された猛毒。エグザイルシンドロームの者が体内に取り込むことで、その血液中に毒を宿らせることができる。,あなたが素手による攻撃で、対象に1点でもダメージを与えた場合、ダメージの代わりにバッドステータスの邪毒を与える。ランクは3となる。なお、あなたはこの効果を選択することなく、通常どおりダメージを与えてもよい。,,,,,,IA,IA-蠱毒の壷,,基本1-素手,,,,,,0,20
上級-予備心臓,上級,ユニークアイテム:エグザイル,予備心臓,ヨヒシンソウ,使い捨て,,,,,50,50,,EXレネゲイドに感染した特殊な木の実を核として作り出す第二の心臓。現時点では、エグザイルシンドロームの者のみが適合する。,あなたが戦闘不能となった時に使用する。戦闘不能を回復し、あなたのHPを1点まで回復させる。ただしこの効果を使用した場合、あなたの侵蝕率は+2D10点される。このアイテムは最大でひとつまでしか持つことができない。,,,,,,IA,IA-予備心臓,,,,,,,,1,50
上級-虹色の砂,上級,ユニークアイテム:モルフェウス,虹色の砂,ニシイロノスナ,使い捨て,,,,,20,20,,モルフェウスシンドロームの力を瞬間的に集束する不可思議な色の砂。EXレネゲイドの粉末であると思われる。,あなたがモルフェウスのエフェクトを使用する直前に使用する。その時に組み合わせたモルフェウスのエフェクトすべての侵蝕値を−1(最低0)する。ただしこの効果によって侵蝕率が減少することはない。このアイテムは最大でひとつまでしか持つことができない。,,,,,,IA,IA-虹色の砂,,,,,,,,1,20
上級-夢幻の心臓,上級,ユニークアイテム:モルフェウス,夢幻の心臓,ムケンノシンソウ,使い捨て,,,,,30,30,,レネゲイドの力を一時的に向上する不可思議な物体。水晶などの結晶体であることもあれば、木の実やぬいぐるみであることもある。,あなたが「タイミング:マイナーアクション」のモルフェウスのエフェクトを使用する直前に使用する。そのシーンの間、そのエフェクトのLVに+2する。この効果でLVの上限を超えてもよい。エフェクトを複数組み合わせている場合、どれかひとつを選択すること。このアイテムは最大でひとつまでしか持つことができない。,,,,,,IA,IA-夢幻の心臓,,,,,,,,1,30
上級-サポートプログラム,上級,ユニークアイテム:ノイマン,サポートプログラム,サホートフロクラム,使い捨て,,,,,5,5,,ノイマンシンドロームのような超天才的頭脳をもってしなければ制御することのできない、非常に高度な行動サポート用コンピュータプログラム。,〈運転:〉〈芸術:〉〈知識:〉〈情報:〉の判定の直前に使用する。その判定のダイスに+2個する。,,,,,,IA,IA-サポートプログラム,,,,,,,,1,5
上級-死神の書,上級,ユニークアイテム:ノイマン,死神の書,シニカミノショ,一般,,,,,50,50,,ノイマンシンドロームの持ち主とのみ共鳴してそのページを開く、謎めいた漆黒の書。そこに名前が書かれた者に、致命的な運命を約束する。,セットアッププロセスに使用する。シーン内の対象ひとりが、このシーンの間に受けるダメージを+10する。この効果は1シナリオに1回まで使用できる。,,,,,,IA,IA-死神の書,,,,,,,,0,50
上級-歪んだ王国,上級,ユニークアイテム:オルクス,歪んだ王国,ユカンタオウコク,一般,,,,,25,25,,何者かが因子を打ち込んだ、小さな西洋風の城のレプリカ。オルクスシンドロームの持ち主と感応し、その領域の支配能力を極限まで向上させる。,あなたが使用するオルクスのエフェクトを組み合わせた攻撃のダメージに、+5する。このアイテムは最大でひとつまでしか持つことができない。,,,,,,IA,IA-歪んだ王国,,,,,,,,0,25
上級-シナプスブースタ,上級,ユニークアイテム:ソラリス,シナプスブースタ,シナフスフースタ,一般,,,,,20,20,,全身の神経系と筋肉を極限まで増強するドラッグ。ただしあまりにも反動が大きく、脳内物質を制御して痛覚を消せるソラリスシンドロームの持ち主にしか使用できない。,セットアッププロセスで使用することで、そのラウンドの間、あなたが行なう【肉体】と【精神】の判定のダイスに+2個する。この効果を使用するたびに、あなたはHP3点を失う。この効果は1シーンに1回まで使用できる。,,,,,,IA,IA-シナプスブースタ,,,,,,,,0,20
上級-ハーメルンの笛,上級,ユニークアイテム:ソラリス,ハーメルンの笛,ハーメルンノフエ,一般,,,,,40,40,,人々に病をもたらす奇妙なワーディング現象を引き起こす伝説の笛。,《ワーディング》の際に使用することで、シーン内の任意のキャラクターに病を与える。病となったキャラクターは、このシーンの間、ドッジの判定のクリティカル値が+1される。オーヴァードの場合、シーン終了とともに病は回復するが、エキストラの場合は使用者が決定すること。,,,,,,IA,IA-ハーメルンの笛,基本1-ワーディング EA-ワーディング,,,,,,,0,40
PE-コーリングシステム,PE,FHアイテム,コーリングシステム,コーリンクシステム,一般,購入不可,,1,1,,,,特定のヴィークルを呼び出す装置。,取得時に、あなたが所持している「種別:ヴィークル」からひとつ選択する。セットアッププロセスに使用することで、選択したヴィークルを呼び出す。また、その際にあなたは呼び出したヴィークルに搭乗状態となる。,,,,,,IA,IA-コーリングシステム,,,,,,,,0,1
PE-エフェクトバースト,PE,FHアイテム,エフェクトバースト,エフェクトハースト,一般,購入不可,,10,10,,,,〈RC〉によるエフェクトの効果を強化する装置。腕時計型、胸当て型など、体に密着するような形で作られていることが多い。操作には精密さを要求される。,〈RC〉を使用した攻撃の命中判定の直前に使用する。その攻撃のダメージを+【精神】する。ただし、この効果を使用した場合、あなたの侵蝕率は+3される。この効果は1シーンに1回まで使用できる。,,,,,,IA,IA-エフェクトバースト,,,,,,,,0,10
PE-ステルスエリア,PE,FHアイテム,ステルスエリア,ステルスエリア,一般,購入不可,,10,10,,,,光学と赤外線への迷彩を施す小型の装置。腕時計やゴーグルのような形状が多い。,マイナーアクションで使用する。あなたは隠密状態となる。ただし、この隠密状態の間、あなたが行なうあらゆる判定のダイスを−2個する。この効果は1シーンに1回まで使用できる。,,,,,,IA,IA-ステルスエリア,,,,,,,,0,10
PE-肉体改造,PE,FHアイテム,肉体改造,ニクタイカイソウ,一般,購入不可,,10,10,,,,筋力を増強する手術を行なう。筋繊維にレネゲイドを侵蝕させる手術だとも噂されている。,セットアッププロセスに使用する。そのシーンの間、あなたの素手の攻撃力とガード値に+3する。ただし、このアイテムを使用すると、あなたの侵蝕率は+3される。,,,,,,IA,IA-肉体改造,,基本1-素手,,,,,,0,10
PE-MASKed,PE,FHアイテム,MASKed,MASKed,一般,購入不可,,20,20,,,,顔に貼りつけることで、望む人間の顔に変わるマスク。,メジャーアクションを使用することで、望む人間の顔に変化させる。もし誰かがこの変化を見破ろうとした場合、〈知覚〉同士による対決を行なうこと。もとの形にはオートアクションで戻すことができるが、再び変化させるにはメジャーアクションを使用しなければならない。,,,,,,IA,IA-MASKed,,,,,,,,0,20
PE-死神の手袋,PE,FHアイテム,死神の手袋,シニカミノテフクロ,一般,購入不可,,25,25,,,,EXレネゲイドに感染した漆黒の手袋。エフェクトに反応し、その効果を増幅する。,あなたが行なう素手による攻撃の命中判定の直前に使用する。その攻撃のダメージに+10する。ただし、その攻撃にはエフェクトを組み合わせていなければならない。この効果を適用するたびに、あなたの侵蝕率を+3する。この効果は1シナリオに3回まで使用できる。,,,,,,IA,IA-死神の手袋,,基本1-素手,,,,,,0,25
PE-CR弾,PE,FHアイテム,CR弾,CRタン,使い捨て,購入不可,,1,1,,,,クラッシュレネゲイド弾。対抗種を研究して作り出したといわれている。,「種別:射撃」の武器による攻撃の直前に使用する。その攻撃のダメージに+3する。この効果はオーヴァードのキャラクターのみに適用する。,,,,,,IA,IA-CR弾,,,,,,,,1,1
PE-グレイサクリファイス,PE,FHアイテム,グレイサクリファイス,クレイサクリファイス,使い捨て,購入不可,,5,5,,,,服用することで仮死状態となる薬品。,マイナーアクションで使用する。そのシーンの間、あなたは死亡として扱われる。シーンが終了することで、この死亡は解除される。このアイテムによる死亡を見破るには、難易度15の〈知覚〉判定に成功する必要がある。ただし、この死亡の間も、ダメージは通常どおり適用すること。ダメージによって死亡した場合、復活はできない。,,,,,,IA,IA-グレイサクリファイス,,,,,,,,1,5
PE-ゴールドビースト,PE,FHアイテム,ゴールドビースト,コールトヒースト,使い捨て,購入不可,,5,5,,,,服用することで、人間が失った獣性を一時的に取り戻させる薬品。,マイナーアクションで使用する。そのシーンの間、あなたが行なう素手による白兵攻撃の命中判定のダイスを+3個する。ただし、あなたはバッドステータスの暴走を受ける。,,,,,,IA,IA-ゴールドビースト,,基本1-素手,,,,,,1,5
PE-レインボウアビリティ,PE,FHアイテム,レインボウアビリティ,レインホウアヒリティ,使い捨て,購入不可,,5,5,,,,生命力を犠牲にして、能力を強化する薬品。,取得時に能力値ひとつを選択する。マイナーアクションで使用する。そのシーンの間、選択した能力値を使用した判定のダイスを+2個する。ただし、このアイテムを使用したメインプロセスの終了時に、あなたはHPを5点失う。,,,,,,IA,IA-レインボウアビリティ,,,,,,,,1,5
PE-磁場発生装置,PE,FHアイテム,磁場発生装置,シハハッセイソウチ,使い捨て,購入不可,,7,7,,,,強力な磁場を発生し、攻撃を防ぐ装置。なぜかオーヴァードにしか使えない。,あなたにHPダメージが適用される直前に使用する。適用される(予定の)HPダメージを−10する。使用した場合、あなたの侵蝕率が+3される。,,,,,,IA,IA-磁場発生装置,,,,,,,,1,7
PE-バイオレットエフェクト,PE,FHアイテム,バイオレットエフェクト,ハイオレットエフェクト,使い捨て,購入不可,,10,10,,,,服用することで、レネゲイドウィルスと身体を同調させて、より強力なエフェクトを発揮する薬品。,マイナーアクションで使用する。そのシーンの間、あなたが行なう〈RC〉を使用した攻撃のダメージを+1D10する。ただし、使用するとあなたの侵蝕率を+3する。,,,,,,IA,IA-バイオレットエフェクト,,,,,,,,1,10
PE-真理の花,PE,FHアイテム,真理の花,シンリノハナ,一般,購入不可,,80,80,,,,銀の花があしらわれたペンダント。銀の花には、装備者とレネゲイドウィルスを同調させる効果がある。,あなたが行なう〈RC〉を使用した攻撃の命中判定の直前に使用する。その攻撃の攻撃力に+10する。さらに、その攻撃に対してガードが行なわれた場合、攻撃の後からそのシーンの間、ガードに使用した武器のガード値を−10する。この効果によってガード値が0以下になった場合、その武器は破壊される。この効果は1シーンに1回まで使用できる。この効果を使用するたびに、あなたの侵蝕率を+3する。,,,,,,IA,IA-真理の花,,,,,,,,0,80
