id,supplement,category,name,ruby,type,skill,acc,acc_int,atk,atk_int,guard,guard_int,rng,rng_int,procure,procure_int,stock,stock_int,exp,exp_int,rec,flavor,effect,price,rec_effect,ref_faq_id,ref_info_id,refed_power_id,refed_armor_id,refed_general_id,update,other_ver_id,rel_power_id,rel_weapon_id,rel_armor_id,rel_vehicle_id,rel_connection_id,rel_general_id,rel_dlois_id,type_order,cost_order
基本1-日本刀,基本1,ジェネラルアイテム,日本刀,ニホントウ,白兵,〈白兵〉,−1,-1,5,5,3,3,至近,0,11,11,5,5,,,,片刃の反った刀身を持つ剣。美術品としても価値がある。,,,,,,,,,IA,IA-日本刀,CE-剣の王城,,,,,,,0,5
基本1-西洋剣,基本1,ジェネラルアイテム,西洋剣,セイヨウケン,白兵,〈白兵〉,−1,-1,4,4,4,4,至近,0,11,11,5,5,,,,攻防両面に使用できる西洋剣。ぶ厚く、大雑把で、重い。,,,,,,,,,IA,IA-西洋剣,,,,,,,,0,5
基本1-チェーンソー,基本1,ジェネラルアイテム,チェーンソー,チェーンソー,白兵,〈白兵〉,−5,-5,6,6,3,3,至近,0,10,10,7,7,,,,木を切るための工作機械。振動が激しく、命中させにくい。,,,,,,,,,IA,IA-チェーンソー,,,,,,,,0,7
基本1-ワイヤーウィップ,基本1,ジェネラルアイテム,ワイヤーウィップ,ワイヤーウィッフ,白兵,〈白兵〉,−2,-2,6,6,0,0,10m,10,12,12,8,8,,,,非常に細いワイヤーでできた鞭。非常に扱いが難しい武器である。,,,,,,,,,IA,IA-ワイヤーウィップ,,,,,,,,0,8
基本1-大木/巨岩,基本1,ジェネラルアイテム,大木/巨岩,タイホクキョカン,白兵,〈白兵〉,−4,-4,8,8,3,3,至近,0,11,11,8,8,,,,自然物を利用した武器。,この武器を使用するには【肉体】6が必要。,,,,,,,,IA,IA-大木/巨岩,,,,,,,,0,8
基本1-特殊プラスチックシールド,基本1,ジェネラルアイテム,特殊プラスチックシールド,トクシュフラスチックシールト,白兵,〈白兵〉,−2,-2,1,1,4,4,至近,0,9,9,4,4,,,,ポリカーボネート製の盾。軽量で扱いやすく、透明なので視界が確保される。,,,,,,,,,IA,IA-特殊プラスチックシールド,,,,,,,,0,4
基本1-ジュラルミンシールド,基本1,ジェネラルアイテム,ジュラルミンシールド,シュラルミンシールト,白兵,〈白兵〉,−3,-3,2,2,6,6,至近,0,12,12,8,8,,,,機動隊が使用していたジュラルミン製の巨大な盾。意外にも軽い。,,,,,,,,,IA,IA-ジュラルミンシールド,,,,,,,,0,8
基本1-電磁シールド,基本1,ジェネラルアイテム,電磁シールド,テンシシールト,白兵,〈白兵〉,−2,-2,2,2,8,8,至近,0,17,17,12,12,,,,磁力を利用し、反発力で防護する小型の盾。,装備して、マイナーアクションを使用することで、そのシーンの間使用可能。,,,,,,,,IA,IA-電磁シールド,,,,,,,,0,12
基本1-パリィシールド,基本1,ジェネラルアイテム,パリィシールド,ハリィシールト,白兵,〈白兵〉,−3,-3,0,0,2,2,至近,0,17,17,12,12,,,,受け流すことに特化した小型の盾。,装備している間、白兵攻撃に対するドッジの判定のダイスを+1個する。,,,,,,,,IA,IA-パリィシールド,,,,,,,,0,12
基本1-クロスボウ,基本1,ジェネラルアイテム,クロスボウ,クロスホウ,射撃,〈射撃〉,−2,-2,2,2,—,0,40m,40,7,7,4,4,,,,機械式の洋弓。,同じエンゲージにいるキャラクターを攻撃の対象にできない。,,,,,,,,IA,IA-クロスボウ,,,,,,,,2,4
基本1-拳銃,基本1,ジェネラルアイテム,拳銃,ケンシュウ,射撃,〈射撃〉,−1,-1,3,3,—,0,20m,20,10,10,6,6,,,,9mm弾を使用する拳銃。扱いやすい銃器。,,,,,,,,,IA,IA-拳銃,,,,,,,,2,6
基本1-大型拳銃,基本1,ジェネラルアイテム,大型拳銃,オオカタケンシュウ,射撃,〈射撃〉,−2,-2,5,5,—,0,20m,20,11,11,7,7,,,,マグナム弾を使用する大型拳銃。反動が非常に大きい。,,,,,,,,,IA,IA-大型拳銃,,,,,,,,2,7
基本1-サブマシンガン,基本1,ジェネラルアイテム,サブマシンガン,サフマシンカン,射撃,〈射撃〉,−1,-1,8,8,—,0,20m,20,14,14,9,9,,,,短機関銃。,同じエンゲージにいるキャラクターを攻撃の対象にできない。,,,,,,,,IA,IA-サブマシンガン,,,,,,,,2,9
基本1-アサルトライフル,基本1,ジェネラルアイテム,アサルトライフル,アサルトライフル,射撃,〈射撃〉,−1,-1,9,9,—,0,100m,100,15,15,10,10,,,,小口径のライフル。,同じエンゲージにいるキャラクターを攻撃の対象にできない。。,,,,,,,,IA,IA-アサルトライフル,,,,,,NC-炸裂徹甲弾,,2,10
基本1-スナイパーライフル,基本1,ジェネラルアイテム,スナイパーライフル,スナイハーライフル,射撃,〈射撃〉,0,0,11,11,—,0,200m,200,19,19,20,20,,,,狙撃用ライフル。,同じエンゲージにいるキャラクターを攻撃の対象にできない。,,,,,,,,IA,IA-スナイパーライフル,,,,,,NC-炸裂徹甲弾,,2,20
基本2-光の剣,基本2,クリエイトアイテム:エンジェルハィロゥ,光の剣,ヒカリノケン,白兵,〈白兵〉,0,0,[LV+4],,3,3,至近,0,購入不可,,不可,,,,,光を集めて白兵武器を作るエフェクト。形状はあなたの思いのままである。,そのシーンの間、あなたは以下のデータの武器を作成し、装備する。,,,,,基本2-光の剣,,,EA IA,,,,,,,,,0,999
基本2-光の銃,基本2,クリエイトアイテム:エンジェルハィロゥ,光の銃,ヒカリノシュウ,射撃,〈射撃〉,0,0,[LV+2],,—,0,視界,,購入不可,,不可,,,,,光を集めて射撃武器を作るエフェクト。形状はあなたの思いのままである。,そのシーンの間、あなたは以下のデータの武器を作成し、装備する。,,,,,基本2-光の銃,,,EA IA,,,,,,,,,2,999
基本2-斥力の矢,基本2,クリエイトアイテム:バロール,斥力の矢,セキリョクノヤ,射撃,〈射撃〉,−1,-1,[LV×2],,—,0,視界,,購入不可,,不可,,,,,斥力を発生させる魔眼を作り、石や釘など小型の物質を弾丸として射出させるエフェクト。,そのシーンの間、あなたは以下のデータの武器を作成し、装備する。,,,,,基本2-斥力の矢,,,EA IA,,,,,,,,,2,999
基本2-サイバーアーム,基本2,クリエイトアイテム:ブラックドッグ,サイバーアーム,サイハーアーム,白兵,〈白兵〉,0,0,[LV+3],,5,5,至近,0,購入不可,,不可,,,,,腕をサイバー化するエフェクト。,素手のデータを以下のように変更する。このエフェクトは侵蝕率によるレベルアップの効果を受けない。このエフェクトを取得した場合、侵蝕率基本値を+3する。,,,,,基本2-サイバーアーム,,,EA IA,,,,,,,,,0,999
基本2-一角鬼,基本2,クリエイトアイテム:キュマイラ,一角鬼,イッカクキ,白兵,〈白兵〉,0,0,[LV+5],,2,2,5m,5,購入不可,,不可,,,,,身体から角状の突起を生やし武器とするエフェクト。,そのシーンの間、あなたの素手のデータを以下のように変更する。,,,,,基本2-一角鬼,,,EA IA,,,,,,,,,0,999
基本2-緑の鞭,基本2,クリエイトアイテム:オルクス,緑の鞭,ミトリノムチ,白兵,〈白兵〉,0,0,[LV+2],,1,1,20m,20,購入不可,,不可,,,,,植物にみずからの因子を埋め込み、鞭を作り出すエフェクト。,そのシーンの間、あなたは以下のデータの武器を作成し、装備する。,,,,,基本2-緑の鞭,,,EA IA,,,,,,,,,0,999
基本2-白熱,基本2,クリエイトアイテム:サラマンダー,白熱,ハクネツ,白兵,〈白兵〉,0,0,[LV+5],,4,4,至近,0,購入不可,,不可,,,,,拳や足先などに温度を集中させ、局部的に超高熱を発生させるエフェクト。その輝きは白く、触れたものすべてを焼き尽くす。,そのシーンの間、あなたの素手のデータを以下のように変更する。,,,,,基本2-白熱,,,EA IA,,,,,,,,,0,999
基本2-フレイムリング,基本2,クリエイトアイテム:サラマンダー,フレイムリング,フレイムリンク,射撃,〈射撃〉,−2,-2,[LV+6],,—,0,30m,30,購入不可,,不可,,,,,投げて使用する炎の輪を作り出すエフェクト。,そのシーンの間、あなたは以下のデータの武器を作成し、装備する。,,,,,基本2-フレイムリング,,,EA IA,,,,,,,,,2,999
基本2-苦痛の矢,基本2,クリエイトアイテム:ソラリス,苦痛の矢,クツウノヤ,射撃,〈射撃〉,0,0,[LV+2],,—,0,視界,,購入不可,,不可,,,,,苦痛を刺激する化学物質を作り出すエフェクト。,そのシーンの間、あなたは以下のデータの武器を作成し、装備する。,,,,,基本2-苦痛の矢,,,EA IA,,,,,,,,,2,999
基本2-スタンガン,基本2,ジェネラルアイテム,スタンガン,スタンカン,白兵,〈白兵〉,−1,-1,0,0,0,0,至近,0,7,7,2,2,,,,数万~50万ボルト程度の電圧を、対象に与える護身武器。電流はごくわずかなので殺傷能力は低い。,この武器を使用した白兵攻撃で、対象に1点でもHPダメージを与えた場合、バッドステータスの硬直を与える。この武器は1シーンに1回まで使用できる。,,,,,,,,IA,IA-スタンガン,,,,,,,,0,2
基本2-バックラー,基本2,ジェネラルアイテム,バックラー,ハックラー,白兵,〈白兵〉,0,0,0,0,2,2,至近,0,8,8,2,2,,,,折りたたみ式の盾。普段は大きめの腕輪のように見える。ワンタッチで展開するため、緊急時にもすぐに使えるところがありがたい。ただし、折りたたみ式のため面積は広くないので防御性能はほどほどである。,,,,,,,,,IA,IA-バックラー,,,,,,,,0,2
基本2-パイルバンカー,基本2,ジェネラルアイテム,パイルバンカー,ハイルハンカー,白兵,〈白兵〉,−4,-4,2,2,4,4,至近,0,13,13,9,9,,,,盾状の外見で、内部に巨大な金属製の杭を備えている。火薬による爆発力を利用し、杭を対象に叩き込む武器。,この武器を使用した白兵攻撃の命中判定を行なう直前に使用する。その攻撃の攻撃力を+10する。この効果は1シナリオに3回まで使用できる。,,,,,,,,IA,IA-パイルバンカー,,,,,,,,0,9
基本2-両手剣,基本2,ジェネラルアイテム,両手剣,リョウテケン,白兵,〈白兵〉,−3,-3,10,10,3,3,至近,0,13,13,9,9,,,,大太刀やツヴァイハンダーなどの両手専用の剣。破壊力は大きいが、非常に重く取り回しづらい。,この武器を装備している間、他の武器は装備できない。,,,,,,,,IA,IA-両手剣,,,,,,,,0,9
基本2-ヒートウィップ,基本2,ジェネラルアイテム,ヒートウィップ,ヒートウィッフ,白兵,〈白兵〉,−6,-6,10,10,0,0,10m,10,17,17,12,12,,,,高熱化するヒートウィップ。高温と相まってすさまじい切れ味を誇るが、その分扱いが難しい。,この武器による白兵攻撃の命中判定を行なう直前に宣言する。その攻撃は、対象の装甲値を無視してダメージを算出する。ただし、そのメインプロセス終了後にこの武器は破壊される。,,,,,,,,IA,IA-ヒートウィップ,,,,,,,,0,12
基本2-高速振動ブレード,基本2,ジェネラルアイテム,高速振動ブレード,コウソクシントウフレート,白兵,〈白兵〉,−1,-1,12,12,2,2,至近,0,20,20,13,13,,,,刀身を高速で振動させることにより、攻撃力を高めたブレード。電力がもたないのが欠点。,装備して、マイナーアクションを使用することで、そのシーンの間使用可能。,,,,,,,,IA,IA-高速振動ブレード,,,,,,,,0,13
基本2-クリスタルシールド,基本2,ジェネラルアイテム,クリスタルシールド,クリスタルシールト,白兵,〈白兵〉,−1,-1,0,0,12,12,至近,0,25,25,15,15,,,,水晶でできたかのような、ほんのりと輝く透明な盾。特殊な合金で作られており、あらゆる衝撃に耐えうるように設計されている。ただし、その分重量はすさまじい。,この武器を装備している間、他の武器は装備できない。,,,,,,,,IA,IA-クリスタルシールド,,,,,,,,0,15
基本2-スタングレネード,基本2,ジェネラルアイテム,スタングレネード,スタンクレネート,射撃,〈射撃〉,−3,-3,—,0,—,0,10m,10,5,5,3,3,,,,閃光と爆音で、相手の感覚を一時的にマヒさせる手榴弾。,この武器を使用した射撃攻撃の対象は「対象:範囲」となる。この武器による射撃攻撃が命中した場合、対象にバッドステータスの硬直と放心を与える。この武器による攻撃で、HPダメージを与えることはできない。この武器は1シナリオに1回まで使用できる。,,,102,,,,,IA,IA-スタングレネード,,,,,,,,2,3
基本2-ベノムグレネード,基本2,ジェネラルアイテム,ベノムグレネード,ヘノムクレネート,射撃,〈射撃〉,−3,-3,—,0,—,0,10m,10,5,5,3,3,,,,皮膚感染型の毒を散布する手榴弾。,この武器を使用した射撃攻撃の対象は「対象:範囲」となる。この武器による射撃攻撃が命中した場合、対象にバッドステータスの邪毒を与える。邪毒のランクは3となる。この武器による攻撃で、HPダメージを与えることはできない。この武器は1シナリオに1回まで使用できる。,,,102,,,,,IA,IA-ベノムグレネード,,,,,,,,2,3
基本2-ショットガン,基本2,ジェネラルアイテム,ショットガン,ショットカン,射撃,〈射撃〉,−1,-1,5,5,—,0,10m,10,11,11,7,7,,,,12ゲージの散弾銃。近距離の対象には、集弾効果により大きなダメージを与える。,この武器を使用した射撃攻撃で、同じエンゲージにいるキャラクターを攻撃する場合、その攻撃の攻撃力に+2する。,,,,,,,,IA,IA-ショットガン,,,,,,NC-炸裂徹甲弾,,2,7
基本2-グレネードランチャー,基本2,ジェネラルアイテム,グレネードランチャー,クレネートランチャー,射撃,〈射撃〉,−2,-2,9,9,—,0,30m,30,13,13,9,9,,,,榴弾を発射する射撃筒。破片をばらまくことで、広範囲に攻撃できる。,この武器を使用する射撃攻撃は、同じエンゲージにいるキャラクターを攻撃の対象にできない。マイナーアクションを使用することで、そのメインプロセスの間、この武器による射撃攻撃の対象を「対象:範囲」に変更する。この効果は1シナリオに1回まで使用できる。,,,102,,,,,IA,IA-グレネードランチャー,,,,,,NC-予備弾倉 NC-炸裂徹甲弾,,2,9
基本2-ボルトアクションライフル,基本2,ジェネラルアイテム,ボルトアクションライフル,ホルトアクションライフル,射撃,〈射撃〉,0,0,8,8,—,0,200m,200,15,15,10,10,,,,じっくりと狙いをつけることで命中精度を上げるライフル銃。,マイナーアクションを使用することで、そのメインプロセスの間、この武器による射撃攻撃の命中判定の達成値を+5する。この武器を使用する射撃攻撃は、同じエンゲージにいるキャラクターを攻撃の対象にできない。,,,,,,,,IA,IA-ボルトアクションライフル,,,,,,NC-炸裂徹甲弾,,2,10
基本2-PDW,基本2,ジェネラルアイテム,PDW,ハーソナルティフェンスウェホン,射撃,〈射撃〉,−1,-1,9,9,—,0,20m,20,30,30,20,20,,,,短機関銃の取り回しとアサルトライフルの威力を持つ火器。,この武器を使用する射撃攻撃は、同じエンゲージにいるキャラクターを攻撃の対象にできない。マイナーアクションを使用することで、そのメインプロセスの間、この武器を使用した射撃攻撃の対象を「対象:範囲(選択)」に変更する。この効果は1シナリオに1回まで使用できる。,,,102,,,,,IA,IA-PDW,,,,,,NC-予備弾倉,,2,20
基本2-アンチマテリアルライフル,基本2,ジェネラルアイテム,アンチマテリアルライフル,アンチマテリアルライフル,射撃,〈射撃〉,0,0,20,20,—,0,300m,300,35,35,24,24,,,,大口径弾を使用するライフル銃。,この武器を使用する射撃攻撃に対しては、ガードを行なえない。この武器を装備している間、他の武器は装備できず、同じエンゲージにいるキャラクターを攻撃の対象にできない。この武器は1シナリオに1回まで使用できる。この攻撃に対してカバーリングを行なった場合、ガードを行なったものとしてダメージを算出できない。,,,,,,,,IA,IA-アンチマテリアルライフル,,,,,,NC-予備弾倉 NC-炸裂徹甲弾,,2,24
基本2-チェーンガン,基本2,ジェネラルアイテム,チェーンガン,チェーンカン,射撃,〈射撃〉,−2,-2,15,15,—,0,100m,100,38,38,27,27,,,,車に搭載する機関砲。外部動力とチェーンによって機関部を動作させているためにこう呼ばれる。,この武器は搭乗状態のキャラクターか、【肉体】が8以上のキャラクターしか装備できない。この武器を使用する射撃攻撃は、同じエンゲージにいるキャラクターを攻撃の対象にできない。,,,103,,,,,IA,IA-チェーンガン,,,,上級-戦闘ヘリ,,,,2,27
基本2-アームブレード,基本2,エフェクトアイテム:ブラックドッグ専用アイテム,アームブレード,アームフレート,白兵,〈白兵〉,−1,-1,9,9,3,3,至近,0,購入不可,,不可,,,,,腕に埋め込み式のブレードを取り付ける。非常に切れ味が鋭く、鉄もたやすく切り裂く。普段は腕に収納されているが、オートアクションでいつでも装備できる。,この武器による攻撃に対してガードが行なわれた場合、対象のガード値を−5してダメージを算出する。,,,,,,,,EA IA,EA-アームブレード IA-アームブレード,基本2-ハードワイヤード,,,,,,,0,999
基本2-リニアキャノン,基本2,エフェクトアイテム:ブラックドッグ専用アイテム,リニアキャノン,リニアキャノン,射撃,〈射撃〉,−2,-2,8,8,—,0,50m,50,購入不可,,不可,,,,,腕に電磁加速式の銃を取り付ける。普段は腕に収納されているが、オートアクションでいつでも装備できる。,この武器による攻撃の対象が行なうドッジの判定のダイスに−2個する。,,,,,,,,EA IA,EA-リニアキャノン IA-リニアキャノン,基本2-ハードワイヤード,,,,,,,2,999
基本2-従者の爪,基本2,エフェクトアイテム:従者専用アイテム,従者の爪,シュウシャノツメ,白兵,〈白兵〉,0,0,8,8,3,3,至近,0,購入不可,,不可,,,,,従者の身体の一部が、武器として変化したもの。形状は爪や剣、槍など従者の主人の思いのままである。,このアイテムは従者のみ装備できる。,,,,,,,,EA IA,EA-従者の爪 IA-従者の爪,基本2-愚者の兵装,,,,,,,0,999
基本2-従者の弓,基本2,エフェクトアイテム:従者専用アイテム,従者の弓,シュウシャノユミ,射撃,〈射撃〉,−1,-1,7,7,—,0,視界,,購入不可,,不可,,,,,従者の身体の一部が、武器として変化したもの。形状は弓や銃、針など従者の主人の思いのままである。,このアイテムは従者のみ装備できる。,,,,,,,,EA IA,EA-従者の弓 IA-従者の弓,基本2-愚者の兵装,,,,,,,2,999
上級-ブレイドバレット,上級,秘密兵器専用アイテム,ブレイドバレット,フレイトハレット,白兵/射撃,〈白兵〉/〈射撃〉,0,0,8,8,2,2,至近/10m,10,購入不可,,不可,,,,,EXレネゲイドに感染した、投擲用ナイフ。刀身に施された特殊な刻印が、投擲時にナイフを加速させ、相手の意識を刈りとるほどの衝撃を生む。,この武器を使用して射撃攻撃を行ない、1点でもHPダメージを与えた場合、対象に放心を与える。種別、射程の/の右側が射撃攻撃を行なった場合のデータとなる。,,,,,,,,LM IA,LM-ブレイドバレット IA-ブレイドバレット,,,,,,,上級-秘密兵器,1,999
上級-フォールンブレイド,上級,秘密兵器専用アイテム,フォールンブレイド,フォールンフレイト,白兵,〈白兵〉,0,0,9,9,3,3,至近,0,購入不可,,不可,,,,,EXレネゲイドに感染した剣。使用者の意志により、その鋭さを増すことがある。,この武器による白兵攻撃の判定の直前に使用する。その判定のクリティカル値に−1(下限値5)する。ただし、この効果を使用した場合、この武器はメインプロセスの終了時に破壊される。,,,,,,,,LM IA,LM-フォールンブレイド IA-フォールンブレイド,,,,,,,上級-秘密兵器,0,999
上級-レイジングブレイド,上級,秘密兵器専用アイテム,レイジングブレイド,レイシンクフレイト,白兵,〈白兵〉,−3,-3,12,12,6,6,至近,0,購入不可,,不可,,,,,EXレネゲイドに感染した巨大な剣。使用者の意志に応じて威力を増す。,この武器による白兵攻撃の直前に使用する。この攻撃のダメージロールを+2D10する。この効果は1シーンに1回まで使用できる。この武器を装備している間、他の武器は装備できず、あなたの【行動値】を−4する。,,,104,,,,,LM IA,LM-レイジングブレイド IA-レイジングブレイド,,,,,,,上級-秘密兵器,0,999
上級-フォールンシールド,上級,秘密兵器専用アイテム,フォールンシールド,フォールンシールト,白兵,〈白兵〉,0,0,2,2,8,8,至近,0,購入不可,,不可,,,,,EXレネゲイドに感染したことで、自在に硬度を変化できるようになった盾。,あなたがガードを行なう際に宣言する。このガードの間、この武器のガード値を+5する。この効果を使用するたびに、あなたの侵蝕率を+2する。,,,,,,,,LM IA,LM-フォールンシールド IA-フォールンシールド,,,,,,,上級-秘密兵器,0,999
上級-フォールンピストル,上級,秘密兵器専用アイテム,フォールンピストル,フォールンヒストル,射撃,〈射撃〉,0,0,8,8,—,0,20m,20,購入不可,,不可,,,,,EXレネゲイドに感染した拳銃。使用者の意志により、弾道を自在に操ることができる。,この武器による射撃攻撃の命中判定の直前に使用する。その攻撃に対するリアクションのクリティカル値に+1する。この効果は1シナリオに3回まで使用できる。,,,,,,,,LM IA,LM-フォールンピストル IA-フォールンピストル,,,,,,,上級-秘密兵器,2,999
上級-フォールンライフル,上級,秘密兵器専用アイテム,フォールンライフル,フォールンライフル,射撃,〈射撃〉,0,0,10,10,—,0,200m,200,購入不可,,不可,,,,,EXレネゲイドに感染したライフル。レネゲイドを沈静化する弾丸を放つ。,この武器を使用した射撃攻撃で、オーヴァード(ジャーム)の対象に1点でもHPダメージを与えた場合、そのラウンドの間、対象が行なうあらゆる判定のダイスを−3個する。この武器を使用する射撃攻撃は、同じエンゲージにいるキャラクターを攻撃の対象にできない。,,,,,,,,LM IA,LM-フォールンライフル IA-フォールンライフル,,,,,,,上級-秘密兵器,2,999
上級-妖刀,上級,ユニークアイテム,妖刀,ヨウトウ,白兵,〈白兵〉,−1,-1,10,10,4,4,至近,0,,,,,20,20,,近代以前に手練れの剣客が用い、幾人もの血を吸ったといわれる曰く付きの日本刀。使い手の情念が染みつき、戦いが近づくと鍔鳴をして歓喜を表わすという。EXレネゲイドに感染しており、単なる刀剣を超えた破壊力を誇る。,,,,,,,,,IA,IA-妖刀,,,,,,,,0,20
上級-呪われし者の銃,上級,ユニークアイテム,呪われし者の銃,ノロワレシモノノシュウ,射撃,〈射撃〉,−1,-1,9,9,—,0,20m,20,,,,,18,18,,かつて非業の死を遂げた銃の名手が愛用していたという古びた銃。EXレネゲイドに感染しており、持ち主の意志に呼応して物理法則をねじ曲げる。その力によって、単なるちっぽけな弾丸が鉄をも打ち砕くほどの威力を得るのだ。,,,,,,,,,IA,IA-呪われし者の銃,,,,,,,,2,18
